,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,57014590.330000006,31443791.673163116,25917663.76,54307680.43,107982120.88,6.0,8.22395,4.535569234726772,3.7384000000000004,7.8335,15.5757
AR,2010,6.0,2314894718.4266667,1122594973.6999493,1225987675.65,2262899687.505,3535179881.11,6.0,333.9073833333333,161.9265111851968,176.84,326.40755,509.925
AR,2015,6.0,297030191.54333335,148759673.65126094,145189344.5,282269116.82000005,492057668.69000006,6.0,42.844516666666664,21.457527480342804,20.942500000000003,40.7153,70.9759
AR,2020,6.0,182000151.43499997,91403703.19903168,88824835.82000001,173154138.29,303427769.31,6.0,26.252283333333335,13.18431220116039,12.8125,24.9763,43.767300000000006
AR,2023,6.0,1255380083.5166667,616997602.0936289,639639483.18,1211285788.09,2001962451.3200002,6.0,181.0798166666667,88.9975589533874,92.2636,174.71949999999998,288.7691
AR,2026,6.0,839226990.6766666,408113982.9929355,439808464.36,817131196.355,1295662336.94,6.0,121.05259999999998,58.867610467251,63.4394,117.86545,186.8902
AR,2029,6.0,200435033.58833334,100095093.18822113,98658014.24,191063968.39999998,330548627.09999996,6.0,28.911316666666664,14.43801278838839,14.2306,27.559600000000003,47.6793
AR,2032,6.0,70327985.17,35316424.04195179,34151578.71,66633283.525000006,116963734.56,6.0,10.1443,5.09415623945713,4.9261,9.6114,16.8712
AR,2035,6.0,19829906.063333333,10161201.468592107,9238949.96,18468836.560000002,33917026.56,6.0,2.8603500000000004,1.4656856180641196,1.3328,2.66395,4.8923000000000005
AR,2038,6.0,20000998.348333333,10266465.864386182,9293699.34,18612477.884999998,34293758.510000005,6.0,2.8850000000000002,1.4808367350926976,1.3406,2.6847000000000003,4.9466
AR,2041,6.0,14776516.415000001,7880215.954711548,6452681.58,13447533.585,26507267.54,6.0,2.1313833333333334,1.1366668806940168,0.9307000000000001,1.93975,3.8234
AR,2044,6.0,22647404.35166667,12924585.069642099,9095861.23,20165052.284999996,43578984.089999996,6.0,3.266766666666667,1.8643075955074226,1.3119999999999998,2.90875,6.2860000000000005
AR,2047,6.0,20737862.966666665,11622323.483862858,8507512.120000001,18559780.305,39213590.42,6.0,2.9912666666666667,1.6764533917370523,1.2270999999999999,2.6771000000000003,5.6563
AR,2050,6.0,21493893.535,11937303.62430909,8928199.24,19311697.619999997,40300348.25,6.0,3.100333333333333,1.7219334327048381,1.2876999999999998,2.7855499999999997,5.8131
AZ,2010,6.0,792236272.8649999,451202286.03483933,288519836.33,646936660.995,1419914388.24,6.0,114.27456666666667,65.08291912855988,41.616899999999994,93.31605,204.8129
AZ,2015,6.0,450573996.7949999,251376929.08588532,171002904.07000002,375162651.35,799067394.31,6.0,64.99210000000001,36.25935480396748,24.6659,54.1145,115.2599
AZ,2020,6.0,324031803.48,180278437.66766053,122570728.82000001,267119735.22,563559769.36,6.0,46.739200000000004,26.003940806577763,17.6799,38.52995,81.2895
AZ,2023,6.0,448558291.4633333,265619452.90832132,151519528.8,355014173.96,824146942.56,6.0,64.70143333333333,38.313883046314515,21.8555,51.208349999999996,118.8777
AZ,2026,6.0,443711999.0316666,263939227.43316835,148509036.56,349772606.96000004,817085644.53,6.0,64.00234999999999,38.07149718762056,21.4212,50.45225,117.85889999999999
AZ,2029,6.0,276743410.7583333,157090399.04563892,101008084.32000001,225309674.095,491050496.79,6.0,39.9183,22.6591491780252,14.569799999999999,32.49935,70.8306
AZ,2032,6.0,128648930.42833333,70055056.14675988,50721144.05,108048709.175,220419268.17999998,6.0,18.556683333333336,10.10494394589434,7.3162,15.585249999999998,31.7939
AZ,2035,6.0,83455950.09666666,42644245.434582666,37362421.39,74076176.35999998,134022321.01,6.0,12.0379,6.151146427130476,5.3894,10.68485,19.3318
AZ,2038,6.0,67462057.13833334,34587205.62248503,29978780.09,59665926.980000004,108712753.29,6.0,9.730916666666667,4.9889128857564415,4.3243,8.606349999999999,15.6809
