sys_costs,r,t,Value
op_fom_costs,p71,2050,2596161035.739046
op_fom_costs,p72,2010,2459183453.03301
op_fom_costs,p72,2015,2374655819.433534
op_fom_costs,p72,2020,1494478016.517859
op_fom_costs,p72,2023,1380063846.589536
op_fom_costs,p72,2026,1257305917.283574
op_fom_costs,p72,2029,1327096540.745076
op_fom_costs,p72,2032,1346128661.988692
op_fom_costs,p72,2035,1628962384.746205
op_fom_costs,p72,2038,1656849017.205069
op_fom_costs,p72,2041,1739597508.365071
op_fom_costs,p72,2044,1757279699.490487
op_fom_costs,p72,2047,1683461976.385013
op_fom_costs,p72,2050,9478952463.341694
op_fom_costs,p73,2010,26524522.866588
op_fom_costs,p73,2015,27410924.757622
op_fom_costs,p73,2020,17492831.075234
op_fom_costs,p73,2023,17023390.233485
op_fom_costs,p73,2026,16761732.806669
op_fom_costs,p73,2029,16761793.931774
op_fom_costs,p73,2032,77112605.828393
op_fom_costs,p73,2035,98650000.642367
op_fom_costs,p73,2038,104760936.39694
op_fom_costs,p73,2041,209182555.146875
op_fom_costs,p73,2044,222396258.718756
op_fom_costs,p73,2047,234381539.901956
op_fom_costs,p73,2050,1369284456.139753
op_fom_costs,p74,2010,201296266.446669
op_fom_costs,p74,2015,193483551.895712
op_fom_costs,p74,2020,47332714.960427
op_fom_costs,p74,2023,49603274.888402
op_fom_costs,p74,2026,102029410.907816
op_fom_costs,p74,2029,116625727.597534
op_fom_costs,p74,2032,164608707.588751
op_fom_costs,p74,2035,273065906.742388
op_fom_costs,p74,2038,286710198.36217
op_fom_costs,p74,2041,271455772.658018
op_fom_costs,p74,2044,339434498.768139
op_fom_costs,p74,2047,343128892.753548
op_fom_costs,p74,2050,2108080997.93338
op_fom_costs,p75,2010,1433466313.815459
op_fom_costs,p75,2015,1018265752.190711
op_fom_costs,p75,2020,626962513.379361
op_fom_costs,p75,2023,631276649.461863
op_fom_costs,p75,2026,629404005.385657
op_fom_costs,p75,2029,719563472.538968
op_fom_costs,p75,2032,710486641.274194
op_fom_costs,p75,2035,941050386.558749
op_fom_costs,p75,2038,973241094.02086
op_fom_costs,p75,2041,996572749.861834
op_fom_costs,p75,2044,1022446082.276347
op_fom_costs,p75,2047,1040404201.954729
op_fom_costs,p75,2050,4447386440.786698
op_fom_costs,p76,2010,219801854.568819
op_fom_costs,p76,2015,350085473.577934
op_fom_costs,p76,2020,215163647.132674
op_fom_costs,p76,2023,214083394.768125
op_fom_costs,p76,2026,203847834.21395
op_fom_costs,p76,2029,303837920.578314
op_fom_costs,p76,2032,348584920.230667
op_fom_costs,p76,2035,647928610.812292
op_fom_costs,p76,2038,680922985.367957
op_fom_costs,p76,2041,972122508.241933
op_fom_costs,p76,2044,1052028081.965815
op_fom_costs,p76,2047,1079853714.886351
op_fom_costs,p76,2050,6045949354.006981
op_fom_costs,p77,2010,138243840.367756
op_fom_costs,p77,2015,78643690.125213
op_fom_costs,p77,2020,58213452.390876
op_fom_costs,p77,2023,46638057.994524
op_fom_costs,p77,2026,55219861.947324
op_fom_costs,p77,2029,105688664.87276
op_fom_costs,p77,2032,106226909.280419
op_fom_costs,p77,2035,105586004.661144
op_fom_costs,p77,2038,105893496.808178
op_fom_costs,p77,2041,147648516.296219
op_fom_costs,p77,2044,147650284.352578
op_fom_costs,p77,2047,175673605.701226
op_fom_costs,p77,2050,985301615.477117
op_fom_costs,p78,2010,99105484.396685
op_fom_costs,p78,2015,84489160.80164
op_fom_costs,p78,2020,86399781.436946
op_fom_costs,p78,2023,92260088.801698
op_fom_costs,p78,2026,90752416.469178
op_fom_costs,p78,2029,122340259.590922
op_fom_costs,p78,2032,106254423.718515
op_fom_costs,p78,2035,110482263.336609
op_fom_costs,p78,2038,110457864.318511
op_fom_costs,p78,2041,172844499.953719
op_fom_costs,p78,2044,189842089.435001
op_fom_costs,p78,2047,267564801.959971
op_fom_costs,p78,2050,2067762639.48423
