r,t,Value
p9,2050,28070550.773517
p10,2010,40672759.223971
p10,2015,9613374.201044
p10,2020,57251293.123537
p10,2023,36018501.940166
p10,2026,31804032.66345
p10,2029,34771213.114728
p10,2032,7873638.745783
p10,2035,8583963.234463
p10,2038,16875557.231664
p10,2041,34810776.194912
p10,2044,41245515.023924
p10,2047,39646626.706068
p10,2050,38797396.705753
p11,2010,8532036.659915
p11,2015,646444.652348
p11,2020,13754714.582671
p11,2023,10945734.332127
p11,2026,10556355.657536
p11,2029,8314705.744322
p11,2032,6278495.766407
p11,2035,7545789.120655
p11,2038,7499968.806333
p11,2041,8457533.223123
p11,2044,11579665.690103
p11,2047,12827428.019746
p11,2050,11746434.582968
p12,2010,992352.063617
p12,2015,-619351.012553
p12,2020,-6823663.053875
p12,2023,-3639716.492498
p12,2026,-3627445.899317
p12,2029,-437301.125992
p12,2032,-131970.944019
p12,2035,-1407279.088738
p12,2038,-1807208.151675
p12,2041,-2988989.521831
p12,2044,-3431801.633289
p12,2047,-3097119.069768
p12,2050,-3366679.229862
p13,2010,-9947861.360467
p13,2015,-10251128.643196
p13,2020,-17081816.977187
p13,2023,-6766988.301807
p13,2026,-7264844.222234
p13,2029,-5607766.047115
p13,2032,-4771501.906572
p13,2035,-1020036.893802
p13,2038,-5891142.274002
p13,2041,-12444696.072683
p13,2044,-17532296.231007
p13,2047,-22072997.521833
p13,2050,-19912261.897457
p14,2010,2169999.477856
p14,2015,1646194.019975
p14,2020,1305730.264207
p14,2023,2780831.088271
p14,2026,2254473.255527
p14,2029,2974999.846223
p14,2032,3707216.799748
p14,2035,4407791.401675
p14,2038,5099630.536722
p14,2041,5760821.909216
p14,2044,6127861.812228
p14,2047,6603137.614934
p14,2050,4269997.502361
p15,2010,7784909.1051
p15,2015,5828511.345136
p15,2020,5020983.138116
p15,2023,6485411.846339
p15,2026,6657763.0524
p15,2029,2481788.603167
p15,2032,378652.271649
p15,2035,-4596622.072132
p15,2038,-5964656.346391
p15,2041,-5822433.077245
p15,2044,-8512844.776875
p15,2047,-11268807.316439
p15,2050,-11675790.69534
p16,2010,2833410.031253
p16,2015,1948489.787951
p16,2020,1865909.137187
p16,2023,1197268.672573
p16,2026,1299186.582513
p16,2029,693686.093816
p16,2032,-1952020.565724
p16,2035,-3895662.002119
p16,2038,-4611093.927075
p16,2041,-6924233.605866
p16,2044,-6565653.425503
p16,2047,-6380857.725404
p16,2050,-5952676.463022
p17,2010,1663248.709562
p17,2015,1372610.181
p17,2020,908024.950763
p17,2023,1294051.4538
p17,2026,1732307.578762
p17,2029,2486334.746022
p17,2032,3490568.626365
p17,2035,5417419.690719
p17,2038,7136052.091226
p17,2041,8789506.191291
p17,2044,10193576.400513
p17,2047,10859715.392535
p17,2050,11062108.389798
p18,2010,-18787.404581
p18,2015,-397494.9102
p18,2020,-1007238.241722
p18,2023,-2414647.166678
p18,2026,-3193245.222388
p18,2029,-8606139.742991
p18,2032,-7258243.79396
p18,2035,-12741654.321605
p18,2038,-13967467.497673
p18,2041,-15906847.573177
p18,2044,-16438127.542907
p18,2047,-16232911.909326
p18,2050,-16396748.400785
p20,2010,-13245298.46202
p20,2015,-625000.396499
p20,2020,184738.924302
p20,2023,-6134875.063912
p20,2026,-6644558.375078
p20,2029,-6313788.848823
p20,2032,-11302718.753963
p20,2035,-12046516.667644
p20,2038,-12520281.914871
p20,2041,-12033260.908871
p20,2044,-11674456.292586
p20,2047,-11089080.17136
p20,2050,-11811867.500615
p21,2010,-9727242.92567
p21,2015,-227613.079424
p21,2020,-602134.909654
p21,2023,-8418689.500854
p21,2026,-6368752.807787
p21,2029,-4207114.262845
p21,2032,-4118960.509688
p21,2035,-5969850.711421
p21,2038,-6461584.461911
p21,2041,-7944910.704598
p21,2044,-8488035.591773
p21,2047,-9269838.622889
p21,2050,-9909371.990415
p22,2010,1552244.355
p22,2015,1535329.719
p22,2020,1391545.524
p22,2023,1479639.747
p22,2026,1613090.406
p22,2029,1783265.1942
p22,2032,728758.701652
p22,2035,926505.510116
p22,2038,950724.220293
p22,2041,909657.031203
p22,2044,871408.784947
p22,2047,962279.785795
p22,2050,1020707.969383
p23,2010,-2033766.779549
p23,2015,512049.03
p23,2020,405233.9094
p23,2023,492856.6212
p23,2026,575272.0974
p23,2029,-994424.791441
p23,2032,-858749.230643
p23,2035,-3488410.198431
p23,2038,-3588952.912716
p23,2041,-4676967.955702
p23,2044,-4892791.820402
p23,2047,-5492667.050161
p23,2050,-6519781.148657
p24,2010,-14374534.624561
p24,2015,-4182613.778793
p24,2020,-5309654.495463
p24,2023,-14742168.142598
p24,2026,-27483358.707066
p24,2029,-33199806.958439
p24,2032,-32744904.667639
p24,2035,-32950129.764562
p24,2038,-39353531.366179
p24,2041,-43046262.306469
p24,2044,-50112492.260139
p24,2047,-51664307.142579
p24,2050,-56603160.934085
p25,2010,-4834512.234349
p25,2015,-412381.743709
p25,2020,-13224086.401292
p25,2023,-8549241.01493
p25,2026,3598845.470022
