eall,r,t,Value_emit,Value_scc,product
CO2,p56,2047,623244.943428,298,185726993.14154398
CO2,p56,2050,625125.736805,310,193788978.40955
CO2,p57,2010,32518193.004916,150,4877728950.7374
CO2,p57,2015,8464061.090059,170,1438890385.3100297
CO2,p57,2020,5268216.576715,190,1000961149.57585
CO2,p57,2023,2372755.530026,202,479296617.065252
CO2,p57,2026,2782862.8908940004,214,595532658.651316
CO2,p57,2029,1539019.5880439999,226,347818426.897944
CO2,p57,2032,868638.271663,238,206735908.655794
CO2,p57,2035,761254.088232,250,190313522.058
CO2,p57,2038,759029.506197,262,198865730.623614
CO2,p57,2041,681810.315674,274,186816026.494676
CO2,p57,2044,681408.128731,286,194882724.817066
CO2,p57,2047,368862.680108,298,109921078.672184
CO2,p57,2050,213477.128212,310,66177909.74572001
CO2,p58,2010,31805167.448640004,150,4770775117.2960005
CO2,p58,2015,29178282.205544002,170,4960307974.94248
CO2,p58,2020,34586315.565386996,190,6571399957.42353
CO2,p58,2023,32860998.506059002,202,6637921698.223918
CO2,p58,2026,30650967.454085,214,6559307035.17419
CO2,p58,2029,25404109.322733,226,5741328706.937658
CO2,p58,2032,15516169.095677,238,3692848244.771126
CO2,p58,2035,5611948.048669,250,1402987012.1672502
CO2,p58,2038,5438888.154398,262,1424988696.452276
CO2,p58,2041,4828374.187664,274,1322974527.4199362
CO2,p58,2044,4326080.8740139995,286,1237259129.9680037
CO2,p58,2047,3665643.358813,298,1092361720.926274
CO2,p58,2050,3308300.048775,310,1025573015.12025
CO2,p59,2010,3130167.026883,150,469525054.03245
CO2,p59,2015,3232208.633415,170,549475467.68055
CO2,p59,2020,4104352.403285,190,779826956.62415
CO2,p59,2023,3881874.7418569997,202,784138697.855114
CO2,p59,2026,3593066.4689410003,214,768916224.353374
CO2,p59,2029,3800042.348949,226,858809570.862474
CO2,p59,2032,1602435.058125,238,381379543.83375
CO2,p59,2035,956332.780856,250,239083195.21400002
CO2,p59,2038,914885.004231,262,239699871.108522
CO2,p59,2041,898414.260808,274,246165507.461392
CO2,p59,2044,826996.2149039999,286,236520917.462544
CO2,p59,2047,814994.392018,298,242868328.82136402
CO2,p59,2050,656748.4695359999,310,203592025.55615997
CO2,p6,2010,1588369.415523,150,238255412.32845002
CO2,p6,2015,1158037.141332,170,196866314.02644
CO2,p6,2020,1814915.525629,190,344833949.86951
CO2,p6,2023,1416054.149787,202,286042938.256974
CO2,p6,2026,1700555.412674,214,363918858.312236
CO2,p6,2029,1146947.9018249998,226,259210225.81244996
CO2,p6,2032,882966.385293,238,210145999.699734
CO2,p6,2035,320999.118545,250,80249779.63624999
CO2,p6,2038,430891.808975,262,112893653.95145
CO2,p6,2041,539735.5724460001,274,147887546.85020402
CO2,p6,2044,535616.98494,286,153186457.69284
CO2,p6,2047,498923.95853,298,148679339.64194
CO2,p6,2050,149538.868386,310,46357049.199659996
CO2,p60,2010,5641403.528783,150,846210529.31745
CO2,p60,2015,1924808.6990770001,170,327217478.84309
CO2,p60,2020,343578.842177,190,65279980.01363
CO2,p60,2023,236933.916307,202,47860651.094014004
CO2,p60,2026,236933.916307,214,50703858.089698
CO2,p60,2029,682198.716833,226,154176910.00425798
CO2,p60,2032,532405.225051,238,126712443.562138
CO2,p60,2035,431699.488962,250,107924872.2405
CO2,p60,2038,743859.3587849999,262,194891152.00166997
CO2,p60,2041,762916.751233,274,209039189.837842
CO2,p60,2044,617055.334735,286,176477825.73421
CO2,p60,2047,605712.917435,298,180502449.39562997
CO2,p60,2050,582940.3412489999,310,180711505.78719
CO2,p61,2020,1856.018913,190,352643.59347
CO2,p61,2023,378.389111,202,76434.600422
CO2,p61,2026,378.389111,214,80975.26975400001
CO2,p61,2029,469714.227907,226,106155415.506982
CO2,p61,2032,450348.85255099996,238,107183026.90713799
CO2,p61,2035,436085.601379,250,109021400.34475
CO2,p61,2038,433847.39409,262,113668017.25158
CO2,p61,2041,436697.051419,274,119654992.088806
CO2,p61,2044,433700.27441799996,286,124038278.48354799
CO2,p61,2047,432434.78335599997,298,128865565.44008799
CO2,p61,2050,429056.233321,310,133007432.32951
CO2,p62,2010,2208457.502659,150,331268625.39885
CO2,p62,2015,3275312.207895,170,556803075.34215
CO2,p62,2020,2372548.124308,190,450784143.61851996
CO2,p62,2023,979316.5011839999,202,197821933.239168
CO2,p62,2026,554189.312014,214,118596512.770996
CO2,p62,2029,557259.196652,226,125940578.44335198
CO2,p62,2032,564065.542903,238,134247599.21091402
CO2,p62,2035,564240.204666,250,141060051.1665
CO2,p62,2038,564296.092341,262,147845576.193342
CO2,p62,2041,568416.900248,274,155746230.667952
CO2,p62,2044,502975.09723,286,143850877.80778
CO2,p62,2047,465329.813893,298,138668284.54011402
CO2,p62,2050,465398.249242,310,144273457.26501998
CO2,p63,2010,85904971.99202201,150,12885745798.8033
CO2,p63,2015,77013151.907202,170,13092235824.22434
CO2,p63,2020,61091062.77300999,190,11607301926.871899
CO2,p63,2023,71777184.631966,202,14498991295.657131
CO2,p63,2026,51079698.755789004,214,10931055533.738848
CO2,p63,2029,27652565.113452,226,6249479715.640152
CO2,p63,2032,26220631.160753,238,6240510216.259214
CO2,p63,2035,17142802.672565,250,4285700668.1412497
CO2,p63,2038,20316501.75527,262,5322923459.88074
CO2,p63,2041,21658188.408037998,274,5934343623.802411
CO2,p63,2044,21691682.725781,286,6203821259.573366
CO2,p63,2047,21204591.734938,298,6318968337.011524
CO2,p63,2050,17180266.524505,310,5325882622.59655
CO2,p64,2010,23100678.854477998,150,3465101828.1716995
CO2,p64,2015,24802019.954882,170,4216343392.32994
CO2,p64,2020,22555911.366963,190,4285623159.72297
CO2,p64,2023,19204495.023043,202,3879307994.654686
CO2,p64,2026,14273006.917931,214,3054423480.437234
CO2,p64,2029,12144907.325281,226,2744749055.513506
CO2,p64,2032,9179498.073986,238,2184720541.608668
CO2,p64,2035,4521918.713810001,250,1130479678.4525
CO2,p64,2038,4570229.550586,262,1197400142.253532
CO2,p64,2041,5218901.385675,274,1429978979.6749501
CO2,p64,2044,4928230.0939070005,286,1409473806.857402
CO2,p64,2047,4389704.910414999,298,1308132063.3036697
CO2,p64,2050,3843959.2785259997,310,1191627376.34306
CO2,p65,2010,36786647.122854,150,5517997068.428101
CO2,p65,2015,31072529.560418,170,5282330025.27106
CO2,p65,2020,29706956.670544,190,5644321767.403359
CO2,p65,2023,25965416.629773002,202,5245014159.214147
CO2,p65,2026,21450560.813816,214,4590420014.156624
CO2,p65,2029,8374711.276819,226,1892684748.561094
CO2,p65,2032,5577741.707753,238,1327502526.445214
CO2,p65,2035,3790178.8022470004,250,947544700.56175
CO2,p65,2038,3777795.732303,262,989782481.863386
CO2,p65,2041,4696424.292822,274,1286820256.233228
CO2,p65,2044,5019242.209384,286,1435503271.8838239
CO2,p65,2047,4767581.304225,298,1420739228.65905
CO2,p65,2050,4166910.277666,310,1291742186.0764601
CO2,p66,2010,5308251.137038,150,796237670.5557
CO2,p66,2015,8436332.095402,170,1434176456.2183402
CO2,p66,2020,7854693.3325539995,190,1492391733.1852598
CO2,p66,2023,7933495.376238,202,1602566066.0000758
CO2,p66,2026,10257396.931611,214,2195082943.3647537
CO2,p66,2029,8942042.369155,226,2020901575.4290302
CO2,p66,2032,3985300.483745,238,948501515.13131
CO2,p66,2035,1214192.544983,250,303548136.24575
CO2,p66,2038,1216597.564214,262,318748561.824068
CO2,p66,2041,1214312.500224,274,332721625.06137604
CO2,p66,2044,1212671.32285,286,346823998.33510005
CO2,p66,2047,1206413.019751,298,359511079.885798
CO2,p66,2050,1202319.282548,310,372718977.58988005
CO2,p67,2010,29301792.540398,150,4395268881.0597
CO2,p67,2015,26927713.408951998,170,4577711279.521839
CO2,p67,2020,29786870.834714998,190,5659505458.59585
CO2,p67,2023,29395953.901378,202,5937982688.078356
CO2,p67,2026,24401363.573145002,214,5221891804.65303
CO2,p67,2029,23801324.601363003,226,5379099359.908039
CO2,p67,2032,17178519.855460003,238,4088487725.5994806
CO2,p67,2035,10862512.530157,250,2715628132.53925
CO2,p67,2038,13613344.178777998,262,3566696174.8398356
CO2,p67,2041,15061338.544384003,274,4126806761.1612167
CO2,p67,2044,15375392.752769,286,4397362327.291934
CO2,p67,2047,14455626.703861,298,4307776757.750578
CO2,p67,2050,11938004.204562,310,3700781303.4142203
CO2,p68,2010,565948.8438230001,150,84892326.57345001
CO2,p68,2015,1239085.978958,170,210644616.42286
CO2,p68,2020,2020647.746824,190,383923071.89656
CO2,p68,2023,1147613.166859,202,231817859.705518
CO2,p68,2026,1484997.317942,214,317789426.039588
CO2,p68,2029,1020315.96935,226,230591409.0731
CO2,p68,2032,722573.80371,238,171972565.28298
CO2,p68,2035,519808.806668,250,129952201.667
CO2,p68,2038,786323.125293,262,206016658.826766
CO2,p68,2041,934636.898964,274,256090510.316136
CO2,p68,2044,931588.743301,286,266434380.584086
CO2,p68,2047,965060.03832,298,287587891.41936004
CO2,p68,2050,1089030.694649,310,337599515.34119
CO2,p69,2010,2518780.2926539998,150,377817043.89809996
CO2,p69,2015,638560.312466,170,108555253.11921999
CO2,p69,2020,325822.88004,190,61906347.207600005
CO2,p69,2023,133340.570182,202,26934795.176764
CO2,p69,2026,142734.717119,214,30545229.463466004
CO2,p69,2029,145765.803046,226,32943071.488395996
CO2,p69,2032,100697.585372,238,23966025.318536
CO2,p69,2035,60683.174651,250,15170793.66275
CO2,p69,2038,233396.161984,262,61149794.439808
CO2,p69,2041,392857.229308,274,107642880.830392
CO2,p69,2044,826059.991319,286,236253157.517234
