sys_costs,r,t,Value
inv_investment_spurline_costs_rsc_technologies,p99,2023,851653330.35417
inv_investment_spurline_costs_rsc_technologies,p99,2026,2932927974.634352
inv_investment_spurline_costs_rsc_technologies,p99,2029,2955080456.006192
inv_investment_spurline_costs_rsc_technologies,p99,2032,22009748.7
inv_investment_spurline_costs_rsc_technologies,p99,2035,4660079242.251862
inv_investment_spurline_costs_rsc_technologies,p99,2038,953274945.786161
inv_investment_spurline_costs_rsc_technologies,p99,2041,1418691790.47043
inv_investment_spurline_costs_rsc_technologies,p99,2044,2928491435.096972
inv_investment_spurline_costs_rsc_technologies,p99,2047,3027740063.83118
inv_investment_spurline_costs_rsc_technologies,p99,2050,2099049604.541477
inv_investment_spurline_costs_rsc_technologies,p100,2020,-250796.075
inv_investment_spurline_costs_rsc_technologies,p100,2026,-4714966.21
inv_investment_spurline_costs_rsc_technologies,p100,2029,-14255698.09
inv_investment_spurline_costs_rsc_technologies,p100,2032,13237710.7777
inv_investment_spurline_costs_rsc_technologies,p100,2035,385060237.04139
inv_investment_spurline_costs_rsc_technologies,p100,2038,23741454.72
inv_investment_spurline_costs_rsc_technologies,p100,2041,152205149.16726
inv_investment_spurline_costs_rsc_technologies,p100,2044,308422016.51914
inv_investment_spurline_costs_rsc_technologies,p100,2047,208433923.904825
inv_investment_spurline_costs_rsc_technologies,p100,2050,33794611.834852
inv_investment_spurline_costs_rsc_technologies,p101,2010,1038498.84224
inv_investment_spurline_costs_rsc_technologies,p101,2015,2425690.7264
inv_investment_spurline_costs_rsc_technologies,p101,2020,188051673.56416
inv_investment_spurline_costs_rsc_technologies,p101,2023,189901262.74304
inv_investment_spurline_costs_rsc_technologies,p101,2026,170324920.49784
inv_investment_spurline_costs_rsc_technologies,p101,2029,1004419546.43952
inv_investment_spurline_costs_rsc_technologies,p101,2032,2616412658.435932
inv_investment_spurline_costs_rsc_technologies,p101,2035,4002558640.32
inv_investment_spurline_costs_rsc_technologies,p101,2038,580675662.872138
inv_investment_spurline_costs_rsc_technologies,p101,2041,1995629285.079537
inv_investment_spurline_costs_rsc_technologies,p101,2044,686784613.245546
inv_investment_spurline_costs_rsc_technologies,p101,2047,1922951541.64535
inv_investment_spurline_costs_rsc_technologies,p101,2050,1182695125.241117
inv_investment_spurline_costs_rsc_technologies,p102,2010,1297052.062
inv_investment_spurline_costs_rsc_technologies,p102,2020,77408067.06016
inv_investment_spurline_costs_rsc_technologies,p102,2023,140545025.5233
inv_investment_spurline_costs_rsc_technologies,p102,2026,125986236.00726
inv_investment_spurline_costs_rsc_technologies,p102,2029,542957209.8472
inv_investment_spurline_costs_rsc_technologies,p102,2035,1046197689.754664
inv_investment_spurline_costs_rsc_technologies,p102,2038,108998726.279228
inv_investment_spurline_costs_rsc_technologies,p102,2041,305941298.954983
inv_investment_spurline_costs_rsc_technologies,p102,2047,27041958.654689
