,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,614892033.805,331595108.44137263,285621480.57,588249079.115,1137363680.74,6.0,88.69390000000003,47.83028575243933,41.1989,84.85085000000001,164.0568
AR,2010,6.0,1295511094.675,636400910.8594699,660739212.0,1250291703.63,2063115391.77,6.0,186.86843333333331,91.79641478551692,95.3069,180.3459,297.59000000000003
AR,2015,6.0,297050493.78833336,148747794.0097181,145234039.44,282306207.455,491953195.85,6.0,42.847433333333335,21.455846349623844,20.949,40.72065,70.96090000000001
AR,2020,6.0,182105754.13000003,91458578.08748607,88873176.59,173252542.45,303614328.92,6.0,26.267500000000002,13.192300420169335,12.8192,24.9905,43.7943
AR,2023,6.0,1255530748.515,617067863.5831693,639722083.56,1211431615.5500002,2002166538.1,6.0,181.1015166666667,89.00774970474014,92.2753,174.7405,288.7986
AR,2026,6.0,460982700.8733333,227996739.10728756,231233431.19,442122232.28,745487647.8,6.0,66.49353333333333,32.8869307152654,33.3537,63.77305,107.5314
AR,2029,6.0,216244352.47000003,107846911.72865878,106564433.04,206079282.93,355515027.63,6.0,31.19173333333333,15.556202450169726,15.3711,29.7255,51.2806
AR,2032,6.0,203418179.5616667,101807207.83541305,99114464.16,192677833.82,335829305.77000004,6.0,29.341616666666667,14.684970170132003,14.2965,27.7924,48.441
AR,2035,6.0,228391653.54333332,114319168.85256067,110981080.88,215859318.505,376617101.93,6.0,32.943866666666665,16.48971868185345,16.0082,31.136200000000002,54.3243
AR,2038,6.0,233612114.62,116750989.5831482,113757225.25,220850678.73000002,383939858.56,6.0,33.696949999999994,16.84051184183545,16.4087,31.8562,55.3807
AR,2041,6.0,237387710.51833335,118725060.61141849,115367414.69,224203442.21,390539501.04,6.0,34.24148333333333,17.12526366598969,16.640900000000002,32.33975,56.3326
AR,2044,6.0,239742955.27999997,119904030.47501276,116488628.00999999,226390380.545,394376068.5,6.0,34.58121666666666,17.295313037400238,16.802599999999998,32.65525,56.8859
AR,2047,6.0,238271115.27166665,119555691.39889659,115084283.91,224568422.57999998,394284537.32,6.0,34.368983333333325,17.245056290707392,16.6001,32.39245,56.8728
AR,2050,6.0,229591460.59333333,115407665.1687586,110630276.34,216322878.205,381315566.75,6.0,33.117016666666665,16.646747872232183,15.9576,31.20315,55.0022
AZ,2010,6.0,634135733.9900001,335263974.58246315,264072933.91,543041746.98,1047364909.97,6.0,91.46963333333333,48.359593394347996,38.0905,78.32995,151.0752
AZ,2015,6.0,363417779.9983333,189672078.90811345,155574679.32,316136653.93,597571310.14,6.0,52.42053333333333,27.358842048059465,22.4406,45.6006,86.1955
AZ,2020,6.0,318243088.84166664,176814439.1201132,120633084.39,262404636.88,552120163.35,6.0,45.90433333333334,25.504331379251383,17.400399999999998,37.84995,79.6396
AZ,2023,6.0,375126077.4766667,206916503.40801978,143948314.23000002,310252798.55,644091004.13,6.0,54.109333333333325,29.846327377864544,20.7635,44.751850000000005,92.9057
AZ,2026,6.0,369788386.2583334,204780138.54878876,140782480.97,304618337.19,636036083.6800001,6.0,53.33936666666667,29.53807196278502,20.3069,43.93915,91.74369999999999
AZ,2029,6.0,295807014.42,163232241.76732752,113408374.63000001,244510050.635,507854071.44,6.0,42.66813333333334,23.54508186986545,16.358500000000003,35.26885,73.25450000000001
AZ,2032,6.0,212220314.85833335,116722937.7619982,82091355.31,176762293.985,366443755.49,6.0,30.611266666666666,16.836494341598154,11.841,25.4967,52.857
AZ,2035,6.0,163061853.93166667,89590585.25271015,63440899.22,136727673.62,283830641.13,6.0,23.5205,12.92281013077264,9.1509,19.722,40.9405
AZ,2038,6.0,147754913.98833334,82176827.51363122,56270910.0,122952891.35499999,260376393.94,6.0,21.31266666666667,11.853441541875789,8.1167,17.7352,37.5575
AZ,2041,6.0,151095061.68166664,84381715.37870294,57164540.99,125507870.00999999,267607421.25,6.0,21.79445,12.171502967135982,8.2455,18.1037,38.6006
AZ,2044,6.0,152978038.87,85898802.09811962,57341444.03,126670704.125,272415909.82,6.0,22.066033333333333,12.390214618426374,8.2712,18.271449999999998,39.294
