,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,6152724.568333334,3834262.354713038,2503826.0700000003,5741521.91,12976339.19,6.0,0.8874999999999998,0.5530355540107706,0.36119999999999997,0.8281499999999999,1.8717
AR,2010,6.0,1297211322.3066666,637311179.9499642,661424863.42,1251821383.395,2066449872.0800002,6.0,187.1136333333333,91.92766043805676,95.4059,180.56645,298.0709
AR,2015,6.0,298363790.425,149360006.82316777,145933743.12,283568483.505,493820654.48,6.0,43.03688333333333,21.544131012822646,21.0499,40.9028,71.2301
AR,2020,6.0,186403483.65,93568599.61653695,91055233.92,177396177.71,310502749.40999997,6.0,26.887383333333332,13.49662594301504,13.134,25.58815,44.7879
AR,2023,6.0,1247083036.323333,612941679.8895954,635337121.28,1203212588.1999998,1988878063.48,6.0,179.88303333333332,88.41254608386,91.643,173.555,286.8818
AR,2026,6.0,228657501.10333332,114348805.07993105,112262289.25999999,217788687.92999998,378073164.38,6.0,32.98225,16.494001185006624,16.1931,31.41445,54.5344
AR,2029,6.0,188043349.89666668,93940623.6767829,92658595.72,179465832.26999998,310553226.85,6.0,27.123949999999997,13.550234005470164,13.365400000000001,25.88675,44.795100000000005
AR,2032,6.0,113644075.86000001,56974823.68101213,55587295.04,108153929.605,188822081.26,6.0,16.39235,8.218195010280542,8.0181,15.6004,27.2362
AR,2035,6.0,64338998.435,32306836.664358005,31323247.66,61082410.38000001,107110064.24,6.0,9.28045,4.660037092019762,4.5182,8.81065,15.4499
AR,2038,6.0,14668491.036666667,8010244.728197023,6324094.43,13413455.375,27181053.299999997,6.0,2.11585,1.155480943590157,0.9121,1.9348500000000002,3.9208
AR,2041,6.0,11593002.348333335,6509940.765221851,4821360.88,10488949.085,22072892.98,6.0,1.6722000000000001,0.9390274245196463,0.6954,1.5130000000000001,3.1838
AR,2044,6.0,9700887.505,5401000.00747133,4089399.1,8821264.155000001,18334932.16,6.0,1.3992833333333337,0.7790717102209955,0.5899,1.2724000000000002,2.6447000000000003
AR,2047,6.0,5943599.231666666,3698798.59730218,2172328.6,5192050.380000001,12340709.42,6.0,0.8573333333333334,0.5335406326294809,0.3134,0.7488999999999999,1.7801
AR,2050,6.0,5946838.695,3699897.7155342605,2174220.97,5195333.365,12345087.39,6.0,0.8577833333333332,0.5336862464657176,0.3136,0.7494000000000001,1.7807
AZ,2010,6.0,632026778.9783334,334150652.323824,263180056.04,541158821.53,1043583069.66,6.0,91.16543333333334,48.19894839863901,37.9618,78.0584,150.52949999999998
AZ,2015,6.0,350874989.7166667,182892324.3338404,150593462.86,305563350.925,576119465.61,6.0,50.61128333333334,26.380900084145477,21.7221,44.0754,83.1012
AZ,2020,6.0,140138544.41833332,78685932.91575411,52440928.06,115782790.35,248812756.07999998,6.0,20.214066666666668,11.349910593950362,7.5643,16.7009,35.8896
AZ,2023,6.0,371702468.1233334,204853147.9249567,142841013.56,307520728.145,637360668.05,6.0,53.6155,29.54865312341664,20.6038,44.3577,91.9349
AZ,2026,6.0,347266856.285,191406409.2117042,133304386.61,286711529.02,593379572.96,6.0,50.09081666666666,27.608975917293034,19.2282,41.3562,85.5907
AZ,2029,6.0,290737851.94666666,159863808.65217978,112156349.47,240697740.55,496527192.05,6.0,41.936883333333334,23.05929035399109,16.1777,34.71895,71.6206
AZ,2032,6.0,173445035.67999998,94248885.59451252,68532296.72,145422372.425,294898675.19,6.0,25.01825,13.594743127216491,9.885299999999999,20.9762,42.5371
AZ,2035,6.0,119368352.93666665,64333217.36540057,48004611.95,101131573.12,202805416.32999998,6.0,17.21806666666667,9.279602310803341,6.9243999999999994,14.58745,29.253200000000003
AZ,2038,6.0,15897154.426666668,9870901.859166726,5148403.53,12742517.02,31496987.21,6.0,2.2930499999999996,1.4237827457164947,0.7426,1.83805,4.5431
AZ,2041,6.0,16374772.225,10452438.692515714,5030412.66,12890019.094999999,33034238.55,6.0,2.36195,1.5076535248524443,0.7256,1.8594,4.7649
AZ,2044,6.0,12632640.243333332,8002144.431520826,3919619.33,9955475.695,25286312.02,6.0,1.8222333333333334,1.1541904707051893,0.5654,1.4362,3.6473
