r,t,Value
p42,2038,-4626681.334211
p42,2041,-6584118.077037
p42,2044,-6292921.952822
p42,2047,-6345331.482108
p42,2050,-7485664.090508
p43,2010,11886144.880628
p43,2015,12542193.599733
p43,2020,10943483.079727
p43,2023,17424677.969333
p43,2026,22571581.573083
p43,2029,34257782.915431
p43,2032,37917886.29798
p43,2035,48954171.590143
p43,2038,53956934.665967
p43,2041,58569069.014218
p43,2044,62563417.907551
p43,2047,61770548.08099
p43,2050,66055688.18012
p44,2010,-1215243.324444
p44,2015,-2205533.247568
p44,2020,-5244785.008158
p44,2023,-6749537.143236
p44,2026,-7320384.401895
p44,2029,-12014136.452747
p44,2032,-13800923.761433
p44,2035,-13051514.772086
p44,2038,-13342205.638561
p44,2041,-14350834.757403
p44,2044,-15571678.352616
p44,2047,-15620434.879631
p44,2050,-14424197.427373
p45,2010,-12327025.644562
p45,2015,-23514214.169768
p45,2020,-25143320.093719
p45,2023,-25935087.67194
p45,2026,-29390382.826235
p45,2029,-31971883.519635
p45,2032,-27753704.407767
p45,2035,-23283132.867811
p45,2038,-24138555.947865
p45,2041,-24266639.147095
p45,2044,-23437589.581256
p45,2047,-23369212.139652
p45,2050,-19062489.581629
p46,2010,5309147.291734
p46,2015,7268370.439556
p46,2020,7536376.599476
p46,2023,7362278.942457
p46,2026,3664160.488791
p46,2029,917002.504634
p46,2032,4461231.103887
p46,2035,6928234.467662
p46,2038,7675967.34435
p46,2041,8579471.864621
p46,2044,9302383.489487
p46,2047,9874183.550923
p46,2050,10900889.563647
p47,2010,2462448.27582
p47,2015,59760.100119
p47,2020,-2177018.395936
p47,2023,-396734.038238
p47,2026,-846245.79975
p47,2029,-2584008.918134
p47,2032,-1850699.287206
p47,2035,-1249044.709588
p47,2038,-1583413.939159
p47,2041,-1395532.684441
p47,2044,-1665164.779684
p47,2047,-3190837.806207
p47,2050,-3795778.978756
p48,2010,3121706.919163
p48,2015,6336665.976969
p48,2020,-4089838.267308
p48,2023,-2494304.947068
p48,2026,-2534954.300306
p48,2029,-3073637.533468
p48,2032,50372.546714
p48,2035,3299814.100176
p48,2038,3623900.797429
p48,2041,4802001.368479
p48,2044,4577658.064259
p48,2047,5820359.638733
p48,2050,7113265.401596
p49,2010,750545.163
p49,2015,-1162841.4057
p49,2020,-2459816.417515
p49,2023,-2784542.969536
p49,2026,-2576678.874186
p49,2029,-3304704.80999
p49,2032,-11379704.077716
p49,2035,-10816836.550416
p49,2038,-12010486.264922
p49,2041,-13421825.349963
p49,2044,-15137575.628427
p49,2047,-15297663.500246
p49,2050,-16185756.601444
p50,2010,9297603.429379
p50,2015,3823880.425898
p50,2020,-13217768.914138
p50,2023,-20161816.838768
p50,2026,-18929379.673178
p50,2029,-25063410.149768
p50,2032,-16421219.459424
p50,2035,-9920442.641197
p50,2038,-10155110.122539
p50,2041,-9317487.969155
p50,2044,-9900720.690201
p50,2047,-10327899.690566
p50,2050,-7060977.948682
p51,2010,1186716.549151
p51,2015,-3328915.932204
p51,2020,-3439634.606451
p51,2023,7158498.235322
p51,2026,6819005.803964
p51,2029,5959127.086189
