eall,r,t,dr,Value
CH4,p34,2020,2.0,1329616906.778249
CH4,p34,2020,1.5,1911324303.4937327
CH4,p34,2023,2.5,717615727.0634483
CH4,p34,2023,2.0,892170903.9167194
CH4,p34,2023,1.5,1246130012.5358527
CH4,p34,2026,2.5,675420555.9852701
CH4,p34,2026,2.0,846310094.2466036
CH4,p34,2026,1.5,1155538782.5290165
CH4,p34,2029,2.5,620091562.9123033
CH4,p34,2029,2.0,781854579.3242086
CH4,p34,2029,1.5,1048089543.8354692
CH4,p34,2032,2.5,685458805.3059648
CH4,p34,2032,2.0,858487241.5967909
CH4,p34,2032,1.5,1131339775.7477088
CH4,p34,2035,2.5,675633378.9558704
CH4,p34,2035,2.0,837197882.6192307
CH4,p34,2035,1.5,1086888479.1898785
CH4,p34,2038,2.5,687717421.7204236
CH4,p34,2038,2.0,844755258.1762683
CH4,p34,2038,1.5,1083019561.7644467
CH4,p34,2041,2.5,708096553.6734971
CH4,p34,2041,2.0,863470257.8968184
CH4,p34,2041,1.5,1097804369.1844506
CH4,p34,2044,2.5,657424668.9608359
CH4,p34,2044,2.0,796746453.1114767
CH4,p34,2044,1.5,1010082935.0921452
CH4,p34,2047,2.5,825782522.7006696
CH4,p34,2047,2.0,995498562.6422182
CH4,p34,2047,1.5,1258938385.8350701
CH4,p34,2050,2.5,847881726.5793235
CH4,p34,2050,2.0,1017458071.8951881
CH4,p34,2050,1.5,1283935185.9629755
CH4,p35,2020,2.5,35148084.51083484
CH4,p35,2020,2.0,43259180.93641211
CH4,p35,2020,1.5,62185072.59609241
CH4,p35,2023,2.5,19863413.750797626
CH4,p35,2023,2.0,24695054.933424078
CH4,p35,2023,1.5,34492549.553749934
CH4,p35,2026,2.5,19807934.961975817
CH4,p35,2026,2.0,24819581.157174516
CH4,p35,2026,1.5,33888274.272295974
CH4,p35,2029,2.5,17280646.940294594
CH4,p35,2029,2.0,21788641.79428449
CH4,p35,2029,1.5,29208049.991476193
CH4,p35,2032,2.5,18440011.941155843
CH4,p35,2032,2.0,23094772.236981593
CH4,p35,2032,1.5,30434971.165014498
