r,t,Value
p26,2032,-2733573.984507
p26,2035,-2592664.056843
p26,2038,-2444904.190523
p26,2041,-2524457.870983
p26,2044,-2462466.231763
p26,2047,-2414157.133275
p26,2050,-3035408.637543
p27,2010,700572.701524
p27,2015,-445583.63665
p27,2020,-1239228.563042
p27,2023,-212508.293432
p27,2026,-800384.995371
p27,2029,-2615234.349184
p27,2032,-2166004.029289
p27,2035,-1545081.508363
p27,2038,-1991849.519839
p27,2041,-1258300.119252
p27,2044,-2378185.319911
p27,2047,-6135310.002225
p27,2050,-9428816.698159
p28,2010,-11481549.014319
p28,2015,-7158464.126915
p28,2020,-20246207.704717
p28,2023,111888.55929
p28,2026,-587324.71126
p28,2029,-3581705.228302
p28,2032,-4059831.613649
p28,2035,-3801026.501974
p28,2038,3629527.868895
p28,2041,6835879.41736
p28,2044,14408916.984115
p28,2047,18333184.226125
p28,2050,23407885.840546
p29,2010,-16033594.991772
p29,2015,-4644149.63219
p29,2020,-4208236.720594
p29,2023,-16605039.993668
p29,2026,-16793299.901479
p29,2029,-14862582.532899
p29,2032,-9757552.122616
p29,2035,-8167908.708178
p29,2038,-11138875.553407
p29,2041,-10614764.369701
p29,2044,-9964393.096895
p29,2047,-10106831.741855
p29,2050,-9647925.944053
p30,2010,9928065.970509
p30,2015,9970279.726871
p30,2020,9915505.207392
p30,2023,9776993.132826
p30,2026,3778921.89397
p30,2029,4435779.938548
p30,2032,4427781.536764
p30,2035,3225975.174997
p30,2038,2651012.459445
p30,2041,3478376.073072
p30,2044,-1124654.551718
p30,2047,-1190930.050595
p30,2050,-842315.865561
p31,2010,-14208946.316028
p31,2015,-1567085.23553
p31,2020,361064.500281
p31,2023,-3476749.900216
p31,2026,-1455360.679934
p31,2029,-4541624.965873
p31,2032,-546959.476165
p31,2035,-1443794.070769
p31,2038,-3582618.735709
p31,2041,-9626191.669669
p31,2044,-11145025.823935
p31,2047,-12842538.011529
p31,2050,-16677071.847221
p32,2010,1490990.091
p32,2015,1601856.291
p32,2020,1351767.6753
p32,2023,1288674.351012
p32,2026,1277147.200596
p32,2029,-758561.844604
p32,2032,-570311.664424
p32,2035,-410844.447284
p32,2038,-271611.498137
p32,2041,-72817.997846
p32,2044,-14129.197356
p32,2047,79781.358638
p32,2050,328387.744463
p33,2010,12931085.182084
p33,2015,7867295.09794
p33,2020,9990893.913216
p33,2023,17434323.286001
p33,2026,23739862.153604
p33,2029,34183830.74892
p33,2032,37278248.757191
p33,2035,39409277.327179
p33,2038,40072909.959321
p33,2041,43218459.146588
p33,2044,45030857.451663
p33,2047,47086660.664865
p33,2050,50932949.329377
p34,2010,-27070.31538
p34,2015,-7821385.900346
p34,2020,-8049993.480498
p34,2023,-9938308.651774
p34,2026,-5020383.461913
p34,2029,-3515867.80364
p34,2032,-5859119.269766
p34,2035,-5723968.524475
p34,2038,-5732334.804319
p34,2041,-6791828.891366
p34,2044,-7099238.715861
p34,2047,-7722636.240001
p34,2050,-13577712.174099
p35,2010,118591.100466
p35,2015,420856.9932
p35,2020,347764.46004
p35,2023,-202322.988379
p35,2026,-1489511.634329
p35,2029,-1408887.766869
p35,2032,-1335831.86921
p35,2035,-1402953.468086
p35,2038,-1316158.94891
p35,2041,-1363778.688537
p35,2044,-1300335.382952
p35,2047,-1260843.858537
p35,2050,-1427429.424969
p36,2010,-19560370.174208
p36,2015,-8291210.13212
p36,2020,-7340778.95022
p36,2023,-18838458.399537
p36,2026,-11521442.075997
p36,2029,-9930437.325398
p36,2032,-11376750.119051
p36,2035,-13385400.447884
p36,2038,-13413543.872143
p36,2041,-13585127.02753
p36,2044,-14823591.29545
p36,2047,-16702269.200321
p36,2050,-11488746.218735
p37,2010,-4897460.19828
p37,2015,-2047046.566889
p37,2020,-521418.299492
p37,2023,3174302.473447
p37,2026,-470841.935854
p37,2029,-12782220.890519
p37,2032,-12204493.658255
p37,2035,-11313728.240097
p37,2038,-10539647.216156
p37,2041,-10651546.20215
p37,2044,-9826312.236299
p37,2047,-9330253.05214
p37,2050,-8741158.678578
p38,2010,2485484.614267
p38,2015,1024307.418484
p38,2020,-2755472.659797
p38,2023,-5253064.028266
p38,2026,-4314851.384215
p38,2029,-2540102.343046
p38,2032,-2245950.415183
p38,2035,-1977770.295706
p38,2038,-1036516.597439
p38,2041,449020.574441
p38,2044,1384573.977018
p38,2047,2874117.36375
p38,2050,3634795.260903
p39,2010,1891525.2705
p39,2015,1855569.723
p39,2020,1864621.116432
p39,2023,2057057.388972
p39,2026,1860709.915868
p39,2029,372622.774219
p39,2032,367372.455065
p39,2035,-775003.061498
p39,2038,-665641.938113
p39,2041,-525202.889299
p39,2044,-548952.439363
p39,2047,-1236805.597479
p39,2050,-2445687.797325
p40,2010,-10596609.795045
p40,2015,3439322.963302
