eall,r,t,Value_emit,dr,Value_scc,dtau,Value
N2O,p112,2045,94950.099368,2.0,85945.0,0.6597758167726053,3931057200.5319333
N2O,p112,2045,94950.099368,1.5,127916.0,0.7314979489889384,6486797451.824259
N2O,p112,2046,102999.157423,2.5,61189.0,0.5808646689911537,2672876666.935163
N2O,p112,2046,102999.157423,2.0,87355.0,0.6468390360515739,4249272591.615148
N2O,p112,2046,102999.157423,1.5,129693.0,0.7206876344718607,7029010782.994333
N2O,p112,2047,102999.157423,2.5,62301.0,0.56669723804015,2655074528.80663
N2O,p112,2047,102999.157423,2.0,88765.0,0.6341559176976214,4233196317.423704
N2O,p112,2047,102999.157423,1.5,131469.0,0.7100370782973997,7019965707.037693
N2O,p112,2048,102999.157423,2.5,63412.0,0.5528753541855124,2636509158.654793
N2O,p112,2048,102999.157423,2.0,90176.0,0.6217214879388445,4216163532.9240117
N2O,p112,2048,102999.157423,1.5,133246.0,0.6995439195048273,7009705452.2991705
N2O,p112,2049,33182.136778,2.5,64523.0,0.5393905894492803,843177864.7853689
N2O,p112,2049,33182.136778,2.0,91586.0,0.6095308705282789,1352465132.7575045
N2O,p112,2049,33182.136778,1.5,135023.0,0.6892058320244606,2254540165.3294997
N2O,p112,2050,33182.136778,2.5,65635.0,0.5262347214139321,836789591.0845585
N2O,p112,2050,33182.136778,2.0,92996.0,0.597579284831646,1346359635.9011643
N2O,p112,2050,33182.136778,1.5,136799.0,0.6790205241620302,2250438267.4370146
N2O,p113,2023,216.940717,2.5,38076.0,1.025,6181774.880780069
N2O,p113,2023,216.940717,2.0,57816.0,1.02,9340846.072612774
N2O,p113,2023,216.940717,1.5,92040.0,1.015,14797237.833124572
N2O,p113,2024,216.940717,2.5,39024.0,1.0,6181157.145210514
N2O,p113,2024,216.940717,2.0,59041.0,1.0,9351724.554386375
N2O,p113,2024,216.940717,1.5,93625.0,1.0,14829613.512718694
N2O,p113,2025,183.393035,2.5,39972.0,0.9756097560975612,5221698.376906904
N2O,p113,2025,183.393035,2.0,60267.0,0.9803921568627452,7911506.154383425
N2O,p113,2025,183.393035,1.5,95210.0,0.9852216748768474,12560192.381636085
N2O,p113,2026,183.393035,2.5,40920.0,0.9518143961927424,5215160.309363639
N2O,p113,2026,183.393035,2.0,61492.0,0.9611687812379854,7914036.401499366
N2O,p113,2026,183.393035,1.5,96796.0,0.9706617486471404,12580708.361789279
N2O,p113,2027,183.393035,2.5,41868.0,0.928599410919749,5205834.867139616
N2O,p113,2027,183.393035,2.0,62718.0,0.9423223345470444,7913551.882872652
N2O,p113,2027,183.393035,1.5,98381.0,0.9563169937410252,12597746.775567928
N2O,p113,2028,183.393035,2.5,42816.0,0.9059506447997552,5193861.90912321
N2O,p113,2028,183.393035,2.0,63944.0,0.9238454260265142,7910043.675087318
N2O,p113,2028,183.393035,1.5,99966.0,0.9421842302867244,12611533.978124794
N2O,p113,2029,183.393035,2.5,43764.0,0.8838542876095173,5179376.129982595
N2O,p113,2029,183.393035,2.0,65169.0,0.905730809829916,7903509.2633408
N2O,p113,2029,183.393035,1.5,101552.0,0.9282603254056396,12622286.637028303
