r,t,Value
p36,2032,-9809117.814051
p36,2035,-16967816.539348
p36,2038,-16888473.525579
p36,2041,-17557777.697165
p36,2044,-17237368.489693
p36,2047,-17842737.885316
p36,2050,-17519937.877383
p37,2010,-4859176.17732
p37,2015,-1933608.589049
p37,2020,-242922.194797
p37,2023,3354276.710793
p37,2026,5457912.03981
p37,2029,-4809331.391312
p37,2032,-6872310.312253
p37,2035,-1626889.464123
p37,2038,-7239043.730467
p37,2041,-5528505.533013
p37,2044,-6745917.077055
p37,2047,-5177511.174259
p37,2050,-3783806.367453
p38,2010,2544868.092
p38,2015,1396592.013231
p38,2020,-2355660.511016
p38,2023,-5124271.259222
p38,2026,-5114545.97913
p38,2029,-2368361.211569
p38,2032,70804.305652
p38,2035,2504380.136547
p38,2038,3125764.497017
p38,2041,3090861.549201
p38,2044,3692173.015769
p38,2047,3844470.185238
p38,2050,3086425.436198
p39,2010,1896841.8705
p39,2015,1860771.2073
p39,2020,1870736.77999
p39,2023,2045267.267981
p39,2026,2281633.983555
p39,2029,-2951411.080821
p39,2032,-3348164.894332
p39,2035,-3470991.233295
p39,2038,-3794197.800321
p39,2041,-3927906.245596
p39,2044,-4360112.020417
p39,2047,-5744622.111507
p39,2050,-8465034.947043
p40,2010,-10503886.60751
p40,2015,3439025.535248
p40,2020,-1793842.192533
p40,2023,-10627551.819286
p40,2026,-8272497.730884
p40,2029,-4486516.151103
p40,2032,-7575376.907314
p40,2035,-12638350.265454
p40,2038,-12469055.129481
p40,2041,-12909751.665201
p40,2044,-15174410.17693
p40,2047,-15006993.344601
p40,2050,-15443963.768999
p41,2010,-5632722.787674
p41,2015,808475.04643
p41,2020,6375155.465674
p41,2023,6165887.277517
p41,2026,9540239.49841
p41,2029,9563525.283977
p41,2032,6597599.92427
p41,2035,6657555.444977
p41,2038,7918681.978338
p41,2041,7582056.806676
p41,2044,8288201.068709
p41,2047,7808655.43497
p41,2050,5207893.680347
p42,2010,8878.727025
p42,2015,-384762.479955
p42,2020,-1190627.466812
p42,2023,221705.122475
p42,2026,491907.328989
p42,2029,-3360527.905084
p42,2032,-5019522.174992
p42,2035,-5102134.893111
p42,2038,-4587919.787882
p42,2041,-6079917.218507
p42,2044,-6351728.103423
p42,2047,-6091907.203155
p42,2050,-6223382.759366
p43,2010,11886144.880628
p43,2015,12542193.599733
p43,2020,10943483.079727
p43,2023,17424677.969333
p43,2026,22571581.573083
p43,2029,34257782.915431
p43,2032,37899174.0019
p43,2035,49307506.148218
p43,2038,54127836.5893
p43,2041,58572932.578028
p43,2044,62649134.430411
p43,2047,64036701.447807
p43,2050,68129759.106104
p44,2010,-1215243.324444
p44,2015,-2205533.247568
p44,2020,-5244785.008158
p44,2023,-6749537.143236
p44,2026,-7320384.401895
p44,2029,-12014136.452747
p44,2032,-13384038.391542
p44,2035,-13141173.670706
p44,2038,-13357089.828474
p44,2041,-13385149.005837
p44,2044,-15676357.072271
p44,2047,-16480424.597277
p44,2050,-15135832.375017
p45,2010,-12327025.644562
p45,2015,-23514214.169768
p45,2020,-25143320.093719
p45,2023,-25935087.67194
p45,2026,-29390382.826235
p45,2029,-31971883.519635
p45,2032,-28169592.57681
p45,2035,-23773813.006829
p45,2038,-24719171.252136
p45,2041,-26081975.953188
p45,2044,-24653266.226985
p45,2047,-24157607.604005
p45,2050,-19374133.215983
p46,2010,5309147.291734
p46,2015,7268370.439556
p46,2020,7536376.599476
p46,2023,7362278.942457
p46,2026,3664160.488791
p46,2029,917002.504634
p46,2032,4230731.843865
p46,2035,7106026.458499
p46,2038,7648448.29012
p46,2041,8512679.133073
p46,2044,9347615.720522
p46,2047,10068233.964106
p46,2050,12316567.102892
p47,2010,2462448.27582
p47,2015,59760.100119
p47,2020,-2177018.395936
p47,2023,-396734.038238
p47,2026,-846245.79975
p47,2029,-2584008.918134
p47,2032,-1425570.539501
p47,2035,-497868.60885
p47,2038,-1537072.821274
p47,2041,-2639595.623545
