,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,59276447.30833333,32790955.565023053,26858155.88,56415972.235,112607611.03,6.0,8.550199999999998,4.729857950086873,3.8741,8.1377,16.2428
AR,2010,6.0,1295411299.72,636351725.4483966,660688823.2900001,1250195815.6999998,2062955284.7199998,6.0,186.85406666666665,91.78935576051651,95.29969999999999,180.33204999999998,297.567
AR,2015,6.0,300379145.8016667,151653530.28280303,144884588.71,284336376.95,504693796.47,6.0,43.327616666666664,21.874905967927422,20.898699999999998,41.0135,72.7985
AR,2020,6.0,180644286.265,90767396.92553675,88084419.77,171812187.45499998,301419649.26,6.0,26.056699999999996,13.092578727049917,12.7055,24.78275,43.4777
AR,2023,6.0,1453180746.9033334,737567539.5639967,697291384.87,1375586825.795,2465707159.67,6.0,209.61109999999996,106.38896575876655,100.5793,198.41864999999999,355.661
AR,2026,6.0,478673671.79333335,236675311.88887742,240183047.48,459063277.205,773463254.0699999,6.0,69.04533333333335,34.13877722559299,34.6447,66.21665,111.5667
AR,2029,6.0,198663221.20166668,99092793.10846683,97995937.49,189500492.89,326884814.05,6.0,28.6558,14.293430033690305,14.135299999999999,27.33415,47.150800000000004
AR,2032,6.0,49777905.65166667,24787878.256830472,24437897.48,47215897.41,81306323.29,6.0,7.18015,3.5754417862692156,3.5251,6.8106,11.7278
AR,2035,6.0,36064996.47666667,18110978.99976185,17361585.4,33920909.239999995,59700506.19,6.0,5.2021500000000005,2.6123728614039767,2.5043,4.893,8.6113
AR,2038,6.0,19774613.261666667,10131086.570099698,9215198.86,18418059.450000003,33812884.17,6.0,2.8523666666666663,1.4613503709469082,1.3293,2.65665,4.8774
AR,2041,6.0,17234458.016666666,8905293.867673341,7910696.08,15960012.54,29793179.91,6.0,2.4859666666666667,1.2844776847678852,1.1411,2.3022,4.2974
AR,2044,6.0,17522746.423333332,9084980.730027776,8002949.03,16202634.934999999,30430986.79,6.0,2.5275333333333334,1.31044223934772,1.1543999999999999,2.3371500000000003,4.3894
AR,2047,6.0,15027053.86,7898662.790711325,6706478.0200000005,13775582.73,26517541.84,6.0,2.167566666666667,1.1393753861948512,0.9673,1.9870500000000002,3.8251
AR,2050,6.0,14527789.383333335,7745028.390389511,6350096.7,13228154.780000001,26057132.919999998,6.0,2.0955666666666666,1.1171964136474242,0.9159999999999999,1.9081000000000001,3.7587
AZ,2010,6.0,634305385.0166667,335333932.3589967,264175782.72,543222422.265,1047614401.4,6.0,91.49411666666667,48.3695215779696,38.1057,78.35600000000001,151.111
AZ,2015,6.0,544504856.0933334,274357739.65691674,251767281.0,490400182.705,858067104.08,6.0,78.54100000000001,39.57411372182579,36.3158,70.73675,123.7702
AZ,2020,6.0,229991883.56499997,124034552.19574569,92301728.15,194458873.78,389978536.3,6.0,33.17466666666667,17.89111787157713,13.3138,28.0493,56.251599999999996
AZ,2023,6.0,385913172.945,211655684.3775453,149802449.60999998,321080301.685,661085364.49,6.0,55.66531666666666,30.529831907720464,21.6081,46.3136,95.3569
AZ,2026,6.0,371823875.6816667,206520423.55790588,140801979.58,305750825.255,641727827.79,6.0,53.632933333333334,29.789181932887423,20.3096,44.10235,92.5649
AZ,2029,6.0,264982753.54166666,140745272.7323671,109178247.59,224320821.425,432022656.78000003,6.0,38.22195,20.301553531762046,15.7483,32.35665,62.3163
AZ,2032,6.0,102464823.40666668,56261233.944828145,39823016.88,85672952.305,177376250.15,6.0,14.779866666666669,8.115291749202036,5.7442,12.357800000000001,25.5854
AZ,2035,6.0,51816270.16833333,28191954.30135863,20505617.18,43699319.56,89200387.65,6.0,7.4741333333333335,4.066487020348973,2.9577999999999998,6.30325,12.8667
AZ,2038,6.0,43229323.96333333,24141908.911239356,16356827.85,35912691.735,76574164.71,6.0,6.23555,3.482328594346031,2.3594,5.180149999999999,11.0454
AZ,2041,6.0,52622270.76166666,29134422.58017035,20198674.749999996,43908586.67,92302494.31,6.0,7.590366666666667,4.202466391854511,2.9135,6.333499999999999,13.314
