eall,r,t,Value_emit,Value_scc,product
CH4,p120,2035,6931.221645,2850,19753981.688249998
CH4,p120,2038,7049.088008,3120,21993154.58496
CH4,p120,2041,7399.777532,3390,25085245.83348
CH4,p120,2044,7531.282602,3660,27564494.32332
CH4,p120,2047,8198.444744,3930,32219887.84392
CH4,p120,2050,12683.216731999999,4200,53269510.274399996
CH4,p121,2010,55602.025511,800,44481620.4088
CH4,p121,2015,7025.741453,1200,8430889.7436
CH4,p121,2020,7025.741453,1600,11241186.3248
CH4,p121,2023,22526.002824,1840,41447845.196159996
CH4,p121,2026,8925.643305,2080,18565338.0744
CH4,p121,2029,7161.068735999999,2320,16613679.467519999
CH4,p121,2032,7161.068735999999,2580,18475557.33888
CH4,p121,2035,135.327283,2850,385682.75655
CH4,p121,2038,135.327283,3120,422221.12296
CH4,p121,2041,135.327283,3390,458759.48936999997
CH4,p121,2044,135.327283,3660,495297.85578
CH4,p121,2047,135.327283,3930,531836.22219
CH4,p121,2050,135.327283,4200,568374.5886
CH4,p123,2010,1485515.842976,800,1188412674.3808
CH4,p123,2015,432056.809593,1200,518468171.51159996
CH4,p123,2020,1228089.974563,1600,1964943959.3008
CH4,p123,2023,1137370.522035,1840,2092761760.5443997
CH4,p123,2026,984603.094784,2080,2047974437.15072
CH4,p123,2029,648552.290436,2320,1504641313.8115199
CH4,p123,2032,668200.611271,2580,1723957577.07918
CH4,p123,2035,613391.334408,2850,1748165303.0628
CH4,p123,2038,635561.467761,3120,1982951779.4143202
CH4,p123,2041,841159.388423,3390,2851530326.75397
CH4,p123,2044,727321.1214809999,3660,2661995304.6204596
CH4,p123,2047,3745815.15109,3930,14721053543.783699
CH4,p123,2050,4627457.970716,4200,19435323477.0072
CH4,p124,2010,15874.841227,800,12699872.981600001
CH4,p124,2015,15385.623272,1200,18462747.926400002
CH4,p124,2020,9860.323329,1600,15776517.3264
CH4,p124,2023,11516.544874,1840,21190442.568159997
CH4,p124,2026,18542.647831,2080,38568707.488479994
CH4,p124,2029,23245.183882,2320,53928826.606240004
CH4,p124,2032,8741.328025,2580,22552626.304500002
CH4,p124,2035,7621.082956,2850,21720086.4246
CH4,p124,2038,7621.082956,3120,23777778.822720002
CH4,p124,2041,10868.58135,3390,36844490.7765
CH4,p124,2044,10969.704141,3660,40149117.15606
CH4,p125,2010,218446.512808,800,174757210.2464
CH4,p125,2015,149052.905672,1200,178863486.8064
CH4,p125,2020,146952.163915,1600,235123462.26400003
CH4,p125,2023,134024.65535900003,1840,246605365.86056006
CH4,p125,2026,151047.655731,2080,314179123.92048
CH4,p125,2029,108213.73615299999,2320,251055867.87495998
CH4,p125,2032,87719.03332399999,2580,226315105.97591996
CH4,p125,2035,84280.339479,2850,240198967.51515
CH4,p125,2038,84232.31148599999,3120,262804811.83631998
CH4,p125,2041,83656.453748,3390,283595378.20572
CH4,p125,2044,74116.04499200001,3660,271264724.67072004
CH4,p125,2047,66973.71838600001,3930,263206713.25698003
CH4,p125,2050,58348.139403,4200,245062185.4926
CH4,p126,2010,2071575.405965,800,1657260324.7719998
CH4,p126,2015,2597226.799239,1200,3116672159.0867996
CH4,p126,2020,2335651.719405,1600,3737042751.0480003
CH4,p126,2023,2990169.6483170004,1840,5501912152.90328
CH4,p126,2026,2837334.263609,2080,5901655268.30672
CH4,p126,2029,2577874.407815,2320,5980668626.1308
CH4,p126,2032,2467332.726444,2580,6365718434.22552
CH4,p126,2035,2260216.995857,2850,6441618438.19245
CH4,p126,2038,2289458.995749,3120,7143112066.73688
CH4,p126,2041,3085676.0710599995,3390,10460441880.893398
CH4,p126,2044,3501744.934591,3660,12816386460.60306
CH4,p126,2047,4452110.4615050005,3930,17496794113.714653
CH4,p126,2050,4705184.597679,4200,19761775310.2518
CH4,p127,2010,4679277.453644999,800,3743421962.9159994
CH4,p127,2015,3630502.6422,1200,4356603170.64
CH4,p127,2020,4163515.0236079996,1600,6661624037.7727995
CH4,p127,2023,4529657.49767,1840,8334569795.712801
CH4,p127,2026,4547265.435589999,2080,9458312106.027199
CH4,p127,2029,3380290.367558,2320,7842273652.73456
CH4,p127,2032,2758256.653307,2580,7116302165.532061
CH4,p127,2035,3146261.3801760003,2850,8966844933.5016
CH4,p127,2038,3017259.1320660003,3120,9413848492.045921
CH4,p127,2041,88793.806447,3390,301011003.85533
CH4,p127,2044,168749.207437,3660,617622099.2194201
CH4,p127,2047,258509.08868699998,3930,1015940718.53991
CH4,p127,2050,253793.469859,4200,1065932573.4078
CH4,p128,2010,953192.536522,800,762554029.2176
CH4,p128,2015,1037934.1467449999,1200,1245520976.0939999
CH4,p128,2020,916364.35036,1600,1466182960.576
CH4,p128,2023,854604.350327,1840,1572472004.60168
CH4,p128,2026,582562.569055,2080,1211730143.6344
CH4,p128,2029,487308.148818,2320,1130554905.25776
CH4,p128,2032,322713.02079,2580,832599593.6381999
CH4,p128,2035,309413.79752,2850,881829322.932
CH4,p128,2038,355507.454089,3120,1109183256.75768
CH4,p128,2041,356183.088329,3390,1207460669.43531
CH4,p128,2044,400847.617969,3660,1467102281.76654
CH4,p128,2047,416265.849388,3930,1635924788.0948398
CH4,p128,2050,436302.787414,4200,1832471707.1388001
CH4,p129,2010,3194.5963060000004,800,2555677.0448000003
CH4,p129,2015,3016.326105,1200,3619591.3260000004
CH4,p129,2020,3016.326105,1600,4826121.768
CH4,p129,2023,2126.068561,1840,3911966.15224
CH4,p129,2026,2122.9310929999997,2080,4415696.673439999
CH4,p129,2029,12.843562,2320,29797.063840000003
CH4,p129,2032,12.843562,2580,33136.38996
CH4,p129,2035,12.843562,2850,36604.1517
CH4,p13,2010,2737072.047313,800,2189657637.8504
CH4,p13,2015,3193141.151818,1200,3831769382.1815996
CH4,p13,2020,4206842.777463,1600,6730948443.940801
CH4,p13,2023,2605877.812525,1840,4794815175.046
CH4,p13,2026,2491985.764248,2080,5183330389.63584
CH4,p13,2029,2241851.058815,2320,5201094456.4508
CH4,p13,2032,3298380.70938,2580,8509822230.200399
CH4,p13,2035,4362762.350901,2850,12433872700.06785
CH4,p13,2038,3967412.906642,3120,12378328268.723042
CH4,p13,2041,4066490.908492,3390,13785404179.78788
CH4,p13,2044,4036417.2710619997,3660,14773287212.08692
CH4,p13,2047,4018974.2174299997,3930,15794568674.499899
CH4,p13,2050,4102388.184936,4200,17230030376.7312
CH4,p130,2010,546235.636369,800,436988509.09519994
CH4,p130,2015,369322.97739,1200,443187572.86800003
CH4,p130,2020,118107.29784199999,1600,188971676.54719996
CH4,p130,2023,161110.902299,1840,296444060.23016
CH4,p130,2026,98255.47261699999,2080,204371383.04336
CH4,p130,2029,88184.093767,2320,204587097.53944
CH4,p130,2032,223236.132236,2580,575949221.16888
CH4,p130,2035,421891.97687,2850,1202392134.0795
CH4,p130,2038,433995.15886300005,3120,1354064895.6525602
CH4,p130,2041,457328.992489,3390,1550345284.5377102
CH4,p130,2044,442678.12074300006,3660,1620201921.9193802
CH4,p130,2047,404416.916419,3930,1589358481.52667
CH4,p130,2050,387136.80070399994,4200,1625974562.9567997
CH4,p131,2010,3841993.3655029996,800,3073594692.4023995
CH4,p131,2015,3093878.842601,1200,3712654611.1211996
CH4,p131,2020,2397497.770305,1600,3835996432.4879994
CH4,p131,2023,2646398.9256629995,1840,4869374023.219919
CH4,p131,2026,1123865.534761,2080,2337640312.30288
CH4,p131,2029,1004263.625121,2320,2329891610.2807198
CH4,p131,2032,866706.72922,2580,2236103361.3876
CH4,p131,2035,734715.577515,2850,2093939395.9177501
CH4,p131,2038,1567853.017221,3120,4891701413.72952
CH4,p131,2041,2514735.648631,3390,8524953848.85909
CH4,p131,2044,2839669.206399,3660,10393189295.42034
CH4,p131,2047,3301033.8371450007,3930,12973062979.979853
CH4,p131,2050,3585343.662609,4200,15058443382.957802
CH4,p132,2010,1874705.2134270002,800,1499764170.7416003
CH4,p132,2015,2288891.067061,1200,2746669280.4732
CH4,p132,2020,3231626.155492,1600,5170601848.7872
CH4,p132,2023,3011229.467945,1840,5540662221.018801
CH4,p132,2026,2524772.262963,2080,5251526306.96304
CH4,p132,2029,2169538.123515,2320,5033328446.5548
CH4,p132,2032,1704616.476698,2580,4397910509.88084
CH4,p132,2035,1615983.311514,2850,4605552437.814899
CH4,p132,2038,1461294.573552,3120,4559239069.482241
CH4,p132,2041,1789351.82594,3390,6065902689.9366
CH4,p132,2044,1788789.262409,3660,6546968700.41694
CH4,p132,2047,1522839.463763,3930,5984759092.58859
CH4,p132,2050,1385408.353408,4200,5818715084.3136
CH4,p133,2010,764045.940188,800,611236752.1503999
CH4,p133,2015,815293.8579020001,1200,978352629.4824001
CH4,p133,2020,389801.66628500004,1600,623682666.0560001
CH4,p133,2023,473032.27686800004,1840,870379389.4371201
CH4,p133,2026,267433.544382,2080,556261772.3145599
CH4,p133,2029,244405.605452,2320,567021004.6486399
CH4,p133,2032,250575.22640699998,2580,646484084.13006
CH4,p133,2035,290284.151212,2850,827309830.9542
CH4,p133,2038,271885.644133,3120,848283209.69496
CH4,p133,2041,310848.95019,3390,1053777941.1441001
CH4,p133,2044,291896.713268,3660,1068341970.56088
CH4,p133,2047,219765.53002799998,3930,863678533.0100399
CH4,p133,2050,200353.93603900002,4200,841486531.3638
CH4,p134,2010,313835.133539,800,251068106.8312
CH4,p134,2015,382956.931854,1200,459548318.22480005
CH4,p134,2020,116721.738214,1600,186754781.1424
CH4,p134,2023,110646.197575,1840,203589003.538
CH4,p134,2026,102155.27131899999,2080,212482964.34352
CH4,p134,2029,45565.518067000005,2320,105712001.91544001
CH4,p134,2032,97837.375623,2580,252420429.10734
CH4,p134,2035,392508.332245,2850,1118648746.89825
CH4,p134,2038,367912.05388200004,3120,1147885608.11184
CH4,p134,2041,322818.499989,3390,1094354714.96271
CH4,p134,2044,322871.46872,3660,1181709575.5152
CH4,p134,2047,290571.23295700003,3930,1141944945.5210102
CH4,p134,2050,295117.875446,4200,1239495076.8732002
CH4,p14,2010,76739.630427,800,61391704.3416
CH4,p14,2015,117164.771402,1200,140597725.6824
CH4,p14,2020,179071.46560499998,1600,286514344.96799994
CH4,p14,2023,24974.393243,1840,45952883.56712
CH4,p14,2026,82550.88696799999,2080,171705844.89343998
CH4,p14,2029,56880.105627,2320,131961845.05464
CH4,p14,2032,49899.28907300001,2580,128740165.80834001
CH4,p14,2035,58307.25559,2850,166175678.4315
CH4,p14,2038,210965.15955900002,3120,658211297.8240801
CH4,p14,2041,357844.83071999997,3390,1213093976.1408
CH4,p14,2044,770015.687598,3660,2818257416.6086802
CH4,p14,2047,825167.6145200001,3930,3242908725.0636
CH4,p14,2050,674342.8478,4200,2832239960.7599998
CH4,p15,2010,39859.816169,800,31887852.9352
