r,rr,trtype,t,Value
p6,p8,AC,2020,40044.43075
p6,p8,AC,2023,40044.43075
p6,p8,AC,2026,40044.43075
p6,p8,AC,2029,40044.43075
p6,p8,AC,2032,40044.43075
p6,p8,AC,2035,40462.694593
p6,p8,AC,2038,43244.112432
p6,p8,AC,2041,43244.112432
p6,p8,AC,2044,48420.99029
p6,p8,AC,2047,84386.929076
p6,p8,AC,2050,219333.750659
p6,p9,AC,2010,2016432.0
p6,p9,AC,2015,2016432.0
p6,p9,AC,2020,2016432.0
p6,p9,AC,2023,2016432.0
p6,p9,AC,2026,2016432.0
p6,p9,AC,2029,2016432.0
p6,p9,AC,2032,2016432.0
p6,p9,AC,2035,2016432.0
p6,p9,AC,2038,2016432.0
p6,p9,AC,2041,2016432.0
p6,p9,AC,2044,2016432.0
p6,p9,AC,2047,2016432.0
p6,p9,AC,2050,2016432.0
p7,p8,AC,2010,10103.153715
p7,p8,AC,2015,10103.153715
p7,p8,AC,2020,10103.153715
p7,p8,AC,2023,10103.153715
p7,p8,AC,2026,10103.153715
p7,p8,AC,2029,10103.153715
p7,p8,AC,2032,10103.153715
p7,p8,AC,2035,10103.153715
p7,p8,AC,2038,10103.153715
p7,p8,AC,2041,10103.153715
p7,p8,AC,2044,10103.153715
p7,p8,AC,2047,10103.153715
p7,p8,AC,2050,10103.153715
p7,p15,AC,2010,144860.24072
p7,p15,AC,2015,144860.24072
p7,p15,AC,2020,144860.24072
p7,p15,AC,2023,144860.24072
p7,p15,AC,2026,144860.24072
p7,p15,AC,2029,144860.24072
p7,p15,AC,2032,144860.24072
p7,p15,AC,2035,144860.24072
p7,p15,AC,2038,144860.24072
p7,p15,AC,2041,144860.24072
p7,p15,AC,2044,144860.24072
p7,p15,AC,2047,144860.24072
p7,p15,AC,2050,144860.24072
p8,p9,AC,2010,100315.84498
p8,p9,AC,2015,100315.84498
p8,p9,AC,2020,100315.84498
p8,p9,AC,2023,100315.84498
p8,p9,AC,2026,100315.84498
p8,p9,AC,2029,100315.84498
p8,p9,AC,2032,100315.84498
p8,p9,AC,2035,100315.84498
p8,p9,AC,2038,100315.84498
p8,p9,AC,2041,100614.612651
p8,p9,AC,2044,154424.245124
p8,p9,AC,2047,286528.137233
p8,p9,AC,2050,687908.719756
p9,p10,AC,2010,3236224.723325
p9,p10,AC,2015,3236224.723325
p9,p10,AC,2020,3236224.723325
p9,p10,AC,2023,3236224.723325
p9,p10,AC,2026,3236224.723325
p9,p10,AC,2029,3236224.723325
p9,p10,AC,2032,3236224.723325
p9,p10,AC,2035,3236224.723325
p9,p10,AC,2038,3236224.723325
p9,p10,AC,2041,3236224.723325
p9,p10,AC,2044,3236224.723325
p9,p10,AC,2047,3236224.723325
p9,p10,AC,2050,3236224.723325
p9,p12,AC,2010,87314.21094
p9,p12,AC,2015,87314.21094
p9,p12,AC,2020,87314.21094
p9,p12,AC,2023,87314.21094
p9,p12,AC,2026,87314.21094
p9,p12,AC,2029,87314.21094
p9,p12,AC,2032,87314.21094
p9,p12,AC,2035,87314.21094
p9,p12,AC,2038,87314.21094
p9,p12,AC,2041,87314.21094
p9,p12,AC,2044,87314.21094
p9,p12,AC,2047,87314.21094
p9,p12,AC,2050,87314.21094
