eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p132,2023,3030591.5526550002,2.0,1874.0,1.02,4229549357.8091455
CH4,p132,2023,3030591.5526550002,1.5,2564.0,1.015,5758487152.219216
CH4,p132,2024,3030591.5526550002,2.5,1524.0,1.0,3372168801.8190813
CH4,p132,2024,3030591.5526550002,2.0,1950.0,1.0,4314782915.713391
CH4,p132,2024,3030591.5526550002,1.5,2650.0,1.0,5863679346.995122
CH4,p132,2025,2582754.779485,2.5,1590.0,0.9756097560975612,2925185174.018843
CH4,p132,2025,2582754.779485,2.0,2025.0,0.9803921568627452,3743733799.989432
CH4,p132,2025,2582754.779485,1.5,2737.0,0.9852216748768474,5084975441.8451605
CH4,p132,2026,2582754.779485,2.5,1657.0,0.9518143961927424,2974095311.15154
CH4,p132,2026,2582754.779485,2.0,2101.0,0.9611687812379854,3808077808.6554327
CH4,p132,2026,2582754.779485,1.5,2823.0,0.9706617486471404,5167243151.171913
CH4,p132,2027,2582754.779485,2.5,1724.0,0.928599410919749,3018879442.086201
CH4,p132,2027,2582754.779485,2.0,2176.0,0.9423223345470444,3866682210.914607
CH4,p132,2027,2582754.779485,1.5,2910.0,0.9563169937410252,5247772107.690442
CH4,p132,2028,2260242.213399,2.5,1791.0,0.9059506447997552,2677639073.222601
CH4,p132,2028,2260242.213399,2.0,2252.0,0.9238454260265142,3433362122.796445
CH4,p132,2028,2260242.213399,1.5,2996.0,0.9421842302867244,4658322507.505183
CH4,p132,2029,2260242.213399,2.5,1857.0,0.8838542876095173,2708597599.9097767
CH4,p132,2029,2260242.213399,2.0,2327.0,0.905730809829916,3478143027.4384985
CH4,p132,2029,2260242.213399,1.5,3083.0,0.9282603254056396,4722752928.580792
CH4,p132,2030,2260242.213399,2.5,1924.0,0.8622968659605048,2737876082.444231
CH4,p132,2030,2260242.213399,2.0,2403.0,0.887971382186192,3521313184.077248
CH4,p132,2030,2260242.213399,1.5,3169.0,0.914542192517872,4782752398.9564705
CH4,p132,2031,1862575.019934,2.5,2002.0,0.8412652350834192,2290380936.362206
CH4,p132,2031,1862575.019934,2.0,2490.0,0.8705601786139138,2947873544.7268953
CH4,p132,2031,1862575.019934,1.5,3270.0,0.9010267906580018,4006786130.1865926
CH4,p132,2032,1862575.019934,2.5,2080.0,0.8207465708130922,2321577129.033596
CH4,p132,2032,1862575.019934,2.0,2578.0,0.8534903711901114,2992211197.0650973
CH4,p132,2032,1862575.019934,1.5,3371.0,0.887711123800987,4069500623.6299543
CH4,p132,2033,1862575.019934,2.5,2157.0,0.8007283617688704,2348800125.387179
CH4,p132,2033,1862575.019934,2.0,2666.0,0.8367552658726582,3033676756.3301654
CH4,p132,2033,1862575.019934,1.5,3471.0,0.874592240198017,4128297040.8627563
CH4,p132,2034,1641340.107094,2.5,2235.0,0.7811984017257273,2092350254.5931418
CH4,p132,2034,1641340.107094,2.0,2754.0,0.8203482998751551,2707433080.0697293
CH4,p132,2034,1641340.107094,1.5,3572.0,0.8616672317221843,3688472419.252169
