r,t,Value
p9,2044,40922109.092189
p9,2047,40520454.271794
p9,2050,41541208.932074
p10,2010,41328949.257418
p10,2015,9401368.099174
p10,2020,64688410.585646
p10,2023,42566051.60268
p10,2026,29591693.554339
p10,2029,38705291.593378
p10,2032,31012541.132637
p10,2035,49722114.104722
p10,2038,60182410.290039
p10,2041,45413898.650906
p10,2044,47787397.365092
p10,2047,53455945.792557
p10,2050,61779613.561942
p11,2010,8379234.654524
p11,2015,495810.36881
p11,2020,14014478.584242
p11,2023,11448972.398455
p11,2026,12373405.11214
p11,2029,8987703.469921
p11,2032,11147523.034015
p11,2035,11989725.22568
p11,2038,7105154.599449
p11,2041,6823854.72989
p11,2044,-133113.828202
p11,2047,-3416356.846535
p11,2050,-3757655.6595
p12,2010,953671.816491
p12,2015,89699.594188
p12,2020,-8081157.327623
p12,2023,-4793077.616478
p12,2026,-4431955.674385
p12,2029,-3941390.214473
p12,2032,1372907.092213
p12,2035,557398.313394
p12,2038,106851.542878
p12,2041,-2314992.653191
p12,2044,-678649.654608
p12,2047,-1679495.835429
p12,2050,-1690761.307014
p13,2010,-10429467.988296
p13,2015,-10397104.60223
p13,2020,-17860932.238638
p13,2023,-9222985.358005
p13,2026,-7256415.658781
p13,2029,-6050006.492866
p13,2032,-20458799.36959
p13,2035,-39023660.554898
p13,2038,-36126471.186042
p13,2041,-37219477.10355
p13,2044,-37682473.134762
p13,2047,-40815217.85351
p13,2050,-42058128.043817
p14,2010,2164143.439551
p14,2015,1826596.63045
p14,2020,1372271.752826
p14,2023,2768489.461106
p14,2026,2170751.570318
p14,2029,3003332.685827
p14,2032,3435160.109265
p14,2035,3864606.560314
p14,2038,4298726.373276
p14,2041,4323352.19953
p14,2044,4033323.277852
p14,2047,4518760.46352
p14,2050,4899210.166056
p15,2010,7728407.0772
p15,2015,6049104.417145
p15,2020,5079203.129477
p15,2023,6458354.158431
p15,2026,6672101.190284
p15,2029,4811804.153419
p15,2032,5648347.53244
