,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,614506718.5466666,331434984.3287897,285411306.4,587875984.065,1136833915.64,6.0,88.63826666666667,47.807165942007764,41.1685,84.797,163.9803
AR,2010,6.0,2314894718.4266667,1122594973.6999493,1225987675.65,2262899687.505,3535179881.11,6.0,333.9073833333333,161.9265111851968,176.84,326.40755,509.925
AR,2015,6.0,297030191.54333335,148759673.65126094,145189344.5,282269116.82000005,492057668.69000006,6.0,42.844516666666664,21.457527480342804,20.942500000000003,40.7153,70.9759
AR,2020,6.0,182000151.43499997,91403703.19903168,88824835.82000001,173154138.29,303427769.31,6.0,26.252283333333335,13.18431220116039,12.8125,24.9763,43.767300000000006
AR,2023,6.0,2264031628.648333,1098935008.9807763,1195143037.33,2210882364.34,3471497451.65,6.0,326.57075,158.5137770775998,172.39099999999996,318.90435,500.7394
AR,2026,6.0,744601264.0433334,366191166.03517985,377916240.17999995,716641133.98,1187854733.54,6.0,107.40350000000001,52.82049065603235,54.5117,103.37049999999999,171.33960000000002
AR,2029,6.0,938975253.1016666,475339336.5780321,451018777.04999995,887777612.5500001,1584717908.46,6.0,135.44063333333335,68.5643703023565,65.0563,128.05575,228.5845
AR,2032,6.0,253329609.8133333,126849143.61930168,123073593.31,239474421.76500002,418141781.78999996,6.0,36.54103333333334,18.297104534288113,17.7525,34.54245,60.314
AR,2035,6.0,243475624.42,121814688.7964812,118283296.72999999,229967008.205,400908192.51,6.0,35.11966666666666,17.570917841213266,17.0616,33.17115,57.828199999999995
AR,2038,6.0,347534163.2266666,170924372.42690116,175501919.84,333038649.875,552840423.8199999,6.0,50.1294,24.65467136305005,25.3149,48.038549999999994,79.74340000000001
AR,2041,6.0,244580707.46,122864397.01982507,117904488.16,230393231.075,405599668.1,6.0,35.279,17.722328504008722,17.0068,33.2326,58.5048
AR,2044,6.0,342014473.65500003,168473874.19886944,171995303.34,327199753.19000006,545984867.5799999,6.0,49.333216666666665,24.30116015266898,24.8092,47.196349999999995,78.75450000000001
AR,2047,6.0,232510883.99166667,117113250.32947236,111563727.05999999,218701913.0,387379069.68,6.0,33.53805,16.892751755560727,16.0924,31.54615,55.8767
AR,2050,6.0,321240770.84833336,158560853.9451851,160855497.34,306931531.21,515370474.34000003,6.0,46.33675,22.871366065432124,23.2023,44.2727,74.3387
AZ,2010,6.0,792236272.8649999,451202286.03483933,288519836.33,646936660.995,1419914388.24,6.0,114.27456666666667,65.08291912855988,41.616899999999994,93.31605,204.8129
AZ,2015,6.0,450573996.7949999,251376929.08588532,171002904.07000002,375162651.35,799067394.31,6.0,64.99210000000001,36.25935480396748,24.6659,54.1145,115.2599
AZ,2020,6.0,324031803.48,180278437.66766053,122570728.82000001,267119735.22,563559769.36,6.0,46.739200000000004,26.003940806577763,17.6799,38.52995,81.2895
AZ,2023,6.0,448534092.9916666,265604125.39069086,151512120.0,354995048.04999995,824097562.5,6.0,64.69791666666667,38.311625479763535,21.8545,51.2056,118.87049999999999
AZ,2026,6.0,448419751.2183333,267556356.6727404,149285193.32999998,352929926.725,828188059.8100001,6.0,64.6814,38.59322930857172,21.5331,50.90774999999999,119.4605
AZ,2029,6.0,365098396.82666665,199776564.72944212,142344743.19,304318739.76500005,624182793.69,6.0,52.66298333333333,28.816373934720982,20.532199999999996,43.896,90.0341
AZ,2032,6.0,295195372.8966667,155788815.50566044,123496910.18,253887319.98999998,489439899.02,6.0,42.57986666666667,22.471485979050573,17.8136,36.62145,70.5983
AZ,2035,6.0,168619732.055,93853476.87784214,64136014.01,140263384.665,297413158.37,6.0,24.322216666666666,13.537620582276144,9.2514,20.232,42.8997
AZ,2038,6.0,151312279.78166667,84285776.7772651,57520036.7,125935055.84,267455866.66,6.0,21.825733333333332,12.157655193772632,8.296899999999999,18.1652,38.5787
AZ,2041,6.0,159796086.74833333,90269137.66104767,59322467.7,131958501.60499999,286512499.69,6.0,23.04941666666667,13.020758546784693,8.5566,19.03415,41.3272
AZ,2044,6.0,153484752.085,86164313.02423467,57571392.04,127157231.76499999,273398208.55,6.0,22.1391,12.428550908774522,8.304300000000001,18.3416,39.435700000000004
