,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,611470329.3766667,329597348.6866605,284141726.06,585003153.0649999,1130452016.7099998,6.0,88.20035,47.542093108265654,40.985499999999995,84.38265,163.0598
AR,2010,6.0,2314717468.8083334,1122508773.5252101,1225894918.1000001,2262727219.505,3534905945.08,6.0,333.88186666666667,161.914141511996,176.8268,326.38265,509.8856
AR,2015,6.0,289430626.1283334,144974576.76390097,141536629.95,275180570.125,479744387.69,6.0,41.748349999999995,20.911552810898574,20.4157,39.69285,69.1998
AR,2020,6.0,180852335.25333333,90883238.37110838,88166144.14,171997156.115,301830673.98,6.0,26.08671666666667,13.10924797376519,12.717400000000001,24.809400000000004,43.537000000000006
AR,2023,6.0,1467596798.3216667,746308903.9986235,702033662.9699999,1387855432.275,2497448189.9700003,6.0,211.69061666666667,107.64984648693962,101.26339999999999,200.1886,360.2395
AR,2026,6.0,791324506.065,384947472.9056774,414131197.96000004,770002690.8100001,1222988092.91,6.0,114.14300000000001,55.525950338701996,59.7355,111.06745000000001,176.4075
AR,2029,6.0,203493551.82333335,101514696.06423217,100300535.4,194006989.43,334829038.69000006,6.0,29.352516666666663,14.64277143117609,14.4677,27.98415,48.2967
AR,2032,6.0,185998930.4183333,93070320.89429393,90751957.41,176348034.39999998,307118695.25,6.0,26.82905,13.424755140076112,13.090300000000001,25.436949999999996,44.2997
AR,2035,6.0,210916001.62333333,105681338.60409063,102453026.3,199482494.465,348757786.93999994,6.0,30.423150000000003,15.243811799251525,14.778099999999998,28.773950000000003,50.3059
AR,2038,6.0,212472846.37166667,106250118.57733668,103518556.41,201078956.195,349927405.61999995,6.0,30.647750000000002,15.325848318282416,14.931799999999999,29.004199999999997,50.474599999999995
AR,2041,6.0,221666101.52333334,110762382.24638079,108012538.45,209643294.115,364270816.07,6.0,31.973749999999995,15.976706793673092,15.58,30.23955,52.543499999999995
AR,2044,6.0,224334478.41666666,112169242.18147348,109156999.44,212046646.53000003,369066089.72,6.0,32.35868333333333,16.179646269979656,15.7451,30.58625,53.23519999999999
AR,2047,6.0,218675767.995,109417630.52449909,106260110.45,206605096.565,360226929.55999994,6.0,31.542483333333326,15.782805165421852,15.3273,29.80135,51.960300000000004
AR,2050,6.0,249737461.38333333,128974323.64276601,115416852.61,232455945.96499997,432624681.02,6.0,36.02291666666667,18.60362011452789,16.6482,33.53015,62.4031
AZ,2010,6.0,634305321.4616666,335333896.6993683,264175758.22,543222362.9549999,1047614258.3199999,6.0,91.49411666666667,48.3695215779696,38.1057,78.35600000000001,151.111
AZ,2015,6.0,356167576.6066666,185903583.13584307,152500236.94,310057563.53499997,586627561.31,6.0,51.37463333333333,26.81527536138062,21.9972,44.7235,84.6169
AZ,2020,6.0,175729228.43166667,98697359.88079962,66076373.86,146115183.435,314675023.02,6.0,25.34765,14.236416414498416,9.531,21.076,45.3897
AZ,2023,6.0,385670913.635,211505722.73208123,149729302.69,320890859.20500004,660594687.09,6.0,55.6304,30.508254481107237,21.5974,46.28635,95.2863
AZ,2026,6.0,367574382.3233333,203949653.38357022,139439636.12,302391937.41,633459920.14,6.0,53.020050000000005,29.418267817242402,20.1134,43.61794999999999,91.372
AZ,2029,6.0,443665989.54833335,235008128.25653306,183841584.98000002,377405532.43999994,725817995.8,6.0,63.995749999999994,33.89828684991323,26.5178,54.43814999999999,104.6942
AZ,2032,6.0,207801030.715,113919689.47528443,80828118.4,173343781.565,357215066.42,6.0,29.973866666666666,16.432078612356584,11.6589,25.00375,51.5257
AZ,2035,6.0,156672835.845,85549897.04980457,61592490.93,131785447.18,270634493.35999995,6.0,22.599,12.339989459801009,8.8842,19.0092,39.0371
AZ,2038,6.0,141564803.09,78526946.65698741,54197503.39,118098431.615,249117024.82000002,6.0,20.419766666666668,11.326923109064822,7.817699999999999,17.03495,35.9333
AZ,2041,6.0,231520308.6016667,121902965.46362914,97269113.99,199346705.335,382303735.15,6.0,33.39518333333333,17.583604744012725,14.0306,28.754200000000004,55.144600000000004
AZ,2044,6.0,140344212.37666667,78154047.33228417,53314249.949999996,116646373.905,247486037.32,6.0,20.243733333333335,11.273203812522272,7.6902,16.825499999999998,35.6982
