r,t,Value
p27,2029,-2458114.052547
p27,2032,-3586298.147953
p27,2035,-5648594.787282
p27,2038,-6635166.766449
p27,2041,-10094029.951516
p27,2044,-10193698.456113
p27,2047,-9451585.833293
p27,2050,-8531334.280761
p28,2010,-11253434.958615
p28,2015,-6653865.990251
p28,2020,-21761814.233487
p28,2023,-241575.921056
p28,2026,27291.326883
p28,2029,4150103.069367
p28,2032,11405668.442765
p28,2035,19854271.760602
p28,2038,25784481.191056
p28,2041,28211208.707369
p28,2044,31307571.951801
p28,2047,41922220.888092
p28,2050,48192362.711283
p29,2010,-16060724.372196
p29,2015,-5132093.088854
p29,2020,-4776030.166762
p29,2023,-16541032.03716
p29,2026,-16803957.449318
p29,2029,-16223665.1489
p29,2032,-13117044.045101
p29,2035,-12756620.701515
p29,2038,-15392870.810308
p29,2041,-14203397.670606
p29,2044,-12680243.187893
p29,2047,-13302201.149178
p29,2050,-10582157.12438
p30,2010,9927825.224193
p30,2015,9980260.141078
p30,2020,9933716.842365
p30,2023,9760528.84745
p30,2026,2781778.031166
p30,2029,5058328.131864
p30,2032,3222202.441417
p30,2035,1022221.993383
p30,2038,61434.800413
p30,2041,441654.642387
p30,2044,-5094071.041103
p30,2047,-2727745.894276
p30,2050,-3682173.858689
p31,2010,-14143284.99924
p31,2015,-1632826.443994
p31,2020,363275.051195
p31,2023,-3598508.050534
p31,2026,-4038513.992235
p31,2029,-11400509.380965
p31,2032,-16363821.408034
p31,2035,-21135794.950725
p31,2038,-22347963.462865
p31,2041,-25109921.480627
p31,2044,-27036560.216222
p31,2047,-41640088.224163
p31,2050,-47125215.778123
p32,2010,1484673.237
p32,2015,1594904.433
p32,2020,1287495.8421
p32,2023,1213778.888748
p32,2026,1217964.142121
p32,2029,-1182561.918512
p32,2032,-966993.619022
p32,2035,-675718.793924
p32,2038,-438858.070493
p32,2041,652505.299177
p32,2044,1007107.594195
p32,2047,1217161.194373
p32,2050,1268867.353339
p33,2010,12755659.029868
p33,2015,7077002.186561
p33,2020,10603392.755485
p33,2023,17361199.385437
