RPSCat,i,st,ast,t,Value
CES,biopower,CA,CA,2044,152914.702949
CES,biopower,CA,CA,2047,96335.998404
CES,biopower,CA,CA,2050,58972.32
CES,biopower,ID,WA,2029,13087.44
CES,biopower,ID,WA,2032,27851.394285
CES,biopower,ID,WA,2035,34931.510076
CES,biopower,ID,WA,2038,27386.845326
CES,biopower,ID,WA,2041,27054.895869
CES,biopower,ID,WA,2044,15848.579844
CES,biopower,ID,WA,2047,16496.661324
CES,biopower,ID,WA,2050,13087.44
CES,biopower,AZ,AZ,2026,12982.32
CES,biopower,AZ,AZ,2029,12982.32
CES,biopower,AZ,AZ,2032,12982.32
CES,biopower,AZ,AZ,2035,12982.32
CES,biopower,AZ,AZ,2038,12982.32
CES,biopower,AZ,AZ,2041,12982.32
CES,biopower,AZ,AZ,2044,12982.32
CES,biopower,AZ,AZ,2047,12982.32
CES,biopower,AZ,AZ,2050,11668.32
CES,biopower,NM,CA,2026,1156.32
CES,biopower,NM,NM,2029,1156.32
CES,biopower,CO,CO,2026,11773.44
CES,biopower,CO,CO,2029,11773.44
CES,biopower,CO,CO,2032,9250.56
CES,biopower,CO,CO,2035,9250.56
CES,biopower,CO,CO,2038,9250.56
CES,biopower,CO,CO,2041,9250.56
CES,biopower,CO,CO,2044,9250.56
CES,biopower,CO,CO,2047,6622.56
CES,biopower,CO,CO,2050,6622.56
CES,biopower,MN,MN,2026,32009.04
CES,biopower,MN,MN,2029,32009.04
CES,biopower,MN,MN,2032,32009.04
CES,biopower,MN,MN,2035,32009.04
CES,biopower,MN,MN,2038,32009.04
CES,biopower,MN,MN,2041,32009.04
CES,biopower,MN,MN,2044,32009.04
CES,biopower,MN,MN,2047,32009.04
CES,biopower,MN,MN,2050,14664.24
CES,biopower,IA,IA,2026,1746.524922
CES,biopower,IA,IA,2029,525.6
CES,biopower,IA,IA,2032,525.6
CES,biopower,IA,IA,2035,525.6
CES,biopower,IA,IA,2038,525.6
CES,biopower,IA,IA,2041,525.6
CES,biopower,IA,IA,2044,525.6
CES,biopower,IA,IA,2047,525.6
CES,biopower,IA,IA,2050,525.6
CES,biopower,WI,WI,2026,124479.944116
CES,biopower,WI,WI,2029,63755.28
CES,biopower,WI,WI,2032,31168.08
CES,biopower,WI,WI,2035,31168.08
CES,biopower,WI,WI,2038,31168.08
CES,biopower,WI,WI,2041,31168.08
CES,biopower,WI,WI,2044,31168.08
CES,biopower,WI,WI,2047,31168.08
CES,biopower,WI,WI,2050,31168.08
CES,biopower,TX,TX,2026,103280.4
CES,biopower,TX,TX,2029,103280.4
CES,biopower,TX,TX,2032,103280.4
CES,biopower,TX,TX,2035,103280.4
CES,biopower,TX,TX,2038,103280.4
CES,biopower,TX,TX,2041,103280.4
CES,biopower,TX,TX,2044,103280.4
CES,biopower,TX,TX,2047,103280.4
CES,biopower,TX,TX,2050,103280.4
CES,biopower,MO,MO,2032,0.0
CES,biopower,LA,LA,2029,307293.075073
CES,biopower,LA,LA,2032,1219408.481015
CES,biopower,LA,LA,2044,452848.996625
CES,biopower,LA,LA,2047,452848.996625
CES,biopower,LA,LA,2050,452848.996625
CES,biopower,LA,DE,2026,657819.159138
CES,biopower,LA,DE,2029,2309372.885471
CES,biopower,LA,RI,2026,1792959.425478
CES,biopower,LA,RI,2029,3741861.324708
CES,biopower,LA,RI,2032,1989274.00417
CES,biopower,LA,RI,2035,1839730.259103
CES,biopower,LA,RI,2038,1604341.242593
CES,biopower,LA,RI,2041,452848.996625
CES,biopower,MI,MI,2026,98655.12
CES,biopower,MI,MI,2029,98655.12
CES,biopower,MI,MI,2032,80048.88
CES,biopower,MI,MI,2035,62914.32
CES,biopower,MI,MI,2038,42941.52
CES,biopower,MI,MI,2041,24545.52
CES,biopower,MI,MI,2044,24545.52
CES,biopower,MI,MI,2047,24545.52
CES,biopower,MI,MI,2050,24545.52
CES,biopower,IL,MI,2029,1576.8
CES,biopower,IL,MI,2044,1576.8
CES,biopower,IL,IL,2026,7310.691144
CES,biopower,IL,IL,2032,1576.8
CES,biopower,IL,IL,2035,1576.8
CES,biopower,IL,IL,2038,1576.8
CES,biopower,IL,IL,2041,1576.8
CES,biopower,IL,IL,2047,1576.8
CES,biopower,IL,IL,2050,1576.8
CES,biopower,NC,NC,2026,28750.32
CES,biopower,NC,NC,2029,45306.72
CES,biopower,NC,NC,2032,52486.759609
CES,biopower,NC,NC,2035,102190.058563
CES,biopower,NC,NC,2038,104084.803391
CES,biopower,NC,NC,2041,20603.52
CES,biopower,NC,NC,2044,20603.52
CES,biopower,NC,NC,2047,20603.52
CES,biopower,NC,NC,2050,20603.52
CES,biopower,VA,VA,2026,2518269.69234
CES,biopower,OH,OH,2026,7434.463939
CES,biopower,PA,PA,2026,2387441.677056
CES,biopower,PA,PA,2029,170031.6
CES,biopower,PA,PA,2032,170031.6
CES,biopower,PA,PA,2035,170031.6
CES,biopower,PA,PA,2038,170031.6
CES,biopower,PA,PA,2041,170031.6
CES,biopower,PA,PA,2044,170031.6
CES,biopower,PA,PA,2047,170031.6
CES,biopower,PA,PA,2050,170031.6
CES,biopower,MD,MD,2026,2382254.343216
CES,biopower,MD,MD,2029,169663.68
CES,biopower,MD,MD,2032,169663.68
CES,biopower,MD,MD,2035,169663.68
CES,biopower,MD,MD,2038,169663.68
CES,biopower,MD,MD,2041,169663.68
CES,biopower,MD,MD,2044,169663.68
CES,biopower,MD,MD,2047,169663.68
CES,biopower,MD,MD,2050,169663.68
CES,biopower,DE,DE,2026,1879353.048226
CES,biopower,DE,DE,2029,1295788.630109
CES,biopower,DE,DE,2032,168717.6
CES,biopower,DE,DE,2035,168717.6
CES,biopower,DE,DE,2038,168717.6
CES,biopower,DE,DE,2041,168717.6
CES,biopower,DE,DE,2044,168717.6
CES,biopower,DE,DE,2047,168717.6
CES,biopower,DE,DE,2050,168717.6
CES,biopower,NJ,NJ,2026,2368991.586816
CES,biopower,NJ,NJ,2029,168717.6
CES,biopower,NJ,NJ,2032,168717.6
CES,biopower,NJ,NJ,2035,168717.6
CES,biopower,NJ,NJ,2038,168717.6
CES,biopower,NJ,NJ,2041,168717.6
CES,biopower,NJ,NJ,2044,168717.6
CES,biopower,NJ,NJ,2047,168717.6
CES,biopower,NJ,NJ,2050,168717.6
CES,biopower,NY,NY,2026,1412584.346485
CES,biopower,NY,NY,2029,100482.308685
CES,biopower,NY,NY,2032,100482.308685
CES,biopower,NY,NY,2035,71574.308685
CES,biopower,NY,NY,2038,71574.308685
CES,biopower,NY,NY,2041,71574.308685
CES,biopower,NY,NY,2044,71574.308685
CES,biopower,NY,NY,2047,71574.308685
CES,biopower,NY,NY,2050,71574.308685
CES,biopower,NH,NH,2050,35478.0
CES,biopower,NH,MA,2032,44413.2
CES,biopower,NH,MA,2035,35478.0
CES,biopower,NH,MA,2038,35478.0
CES,biopower,NH,MA,2041,35478.0
CES,biopower,NH,MA,2044,35478.0
CES,biopower,NH,MA,2047,35478.0
CES,biopower,MA,MA,2026,2479238.87652
CES,biopower,MA,MA,2029,2368991.586816
CES,biopower,MA,MA,2032,176549.04
CES,biopower,MA,MA,2035,176549.04
CES,biopower,MA,MA,2038,168717.6
CES,biopower,MA,MA,2041,168717.6
CES,biopower,MA,MA,2044,168717.6
CES,biopower,MA,MA,2047,168717.6
CES,biopower,MA,MA,2050,168717.6
CES,biopower,CT,CT,2032,47207.565501
CES,biopower,CT,CT,2035,47207.565501
CES,biopower,CT,CT,2038,47207.565501
CES,biopower,CT,CT,2041,47207.565501
CES,biopower,CT,CT,2044,47207.565501
CES,biopower,CT,CT,2047,47207.565501
CES,biopower,CT,CT,2050,47207.565501
CES,biopower,RI,RI,2026,23616.115507
CES,biopower,RI,RI,2029,23480.006707
CES,biopower,RI,RI,2032,1681.92
CES,biopower,RI,RI,2035,1681.92
CES,biopower,RI,RI,2038,1681.92
CES,biopower,RI,RI,2041,1681.92
CES,biopower,RI,RI,2044,1681.92
CES,biopower,RI,RI,2047,1681.92
CES,biopower,RI,RI,2050,1681.92
CES,biopower,ME,MA,2029,118417.68
CES,biopower,ME,ME,2026,557125.373467
CES,biopower,ME,ME,2032,97078.32
CES,biopower,ME,ME,2035,28172.16
CES,biopower,ME,ME,2038,8199.36
CES,biopower,ME,ME,2041,8199.36
CES,biopower,ME,ME,2044,8199.36
CES,biopower,ME,ME,2047,8199.36
CES,biopower,ME,ME,2050,8199.36
CES,beccs_mod,CA,CA,2041,2067476.315606
CES,beccs_mod,CA,CA,2044,3838780.754112
CES,beccs_mod,CA,CA,2047,5271808.574484
CES,beccs_mod,CA,CA,2050,5271808.574484
CES,beccs_mod,MN,MN,2035,0.0
CES,beccs_mod,DE,DE,2029,18279.802359
CES,beccs_mod,DE,DE,2032,108308.508439
CES,beccs_mod,DE,DE,2035,141905.454823
CES,beccs_mod,DE,DE,2038,299429.448822
CES,beccs_mod,DE,DE,2041,440335.848476
CES,beccs_mod,DE,DE,2044,440335.848476
CES,beccs_mod,DE,DE,2047,599595.17662
CES,beccs_mod,DE,DE,2050,659167.465745
CES,can-imports,WA,WA,2026,8041435.958556
CES,can-imports,WA,WA,2029,6820237.179756
CES,can-imports,WA,WA,2032,6664777.335216
CES,can-imports,WA,WA,2035,5898338.101656
CES,can-imports,WA,WA,2038,6095107.904886
CES,can-imports,WA,WA,2041,6838016.161977
CES,can-imports,WA,WA,2044,6221456.778537
CES,can-imports,WA,WA,2047,5923557.076437
CES,can-imports,WA,WA,2050,6398926.601067
CES,can-imports,ND,MI,2050,7187239.04613
CES,can-imports,MN,MN,2026,4390025.60997
CES,can-imports,MN,MN,2029,7622777.377215
CES,can-imports,MN,MN,2032,7414247.585745
CES,can-imports,MN,MN,2035,7170407.829585
CES,can-imports,MN,MN,2038,7006634.853725
CES,can-imports,MN,MN,2041,7074037.93745
CES,can-imports,MN,MN,2044,7108578.332795
CES,can-imports,MN,MN,2047,6950926.965429
CES,can-imports,MN,MN,2050,6951582.166964
CES,can-imports,MI,MI,2026,4126710.873285
CES,can-imports,MI,MI,2029,4122220.877775
CES,can-imports,MI,MI,2032,4967690.032305
CES,can-imports,MI,MI,2035,5292259.707735
