,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,611783467.6366667,329798844.98114663,284260689.42,585292736.025,1131154838.3700001,6.0,88.24548333333333,47.571187394447776,41.0025,84.42439999999999,163.1612
AR,2010,6.0,1295408246.0199997,636350070.6207328,660687641.1400001,1250193099.05,2062949128.23,6.0,186.85361666666665,91.78912314311356,95.2996,180.33165,297.5661
AR,2015,6.0,289430626.1283334,144974576.76390097,141536629.95,275180570.125,479744387.69,6.0,41.748349999999995,20.911552810898574,20.4157,39.69285,69.1998
AR,2020,6.0,180852335.25333333,90883238.37110838,88166144.14,171997156.115,301830673.98,6.0,26.08671666666667,13.10924797376519,12.717400000000001,24.809400000000004,43.537000000000006
AR,2023,6.0,1241168397.0249999,610047903.3429915,632368459.39,1197607127.15,1979670375.78,6.0,179.02983333333336,87.99516968806111,91.2146,172.7464,285.55370000000005
AR,2026,6.0,463365950.065,229157271.86105776,232374013.59,444283229.3249999,749063044.1300001,6.0,66.83731666666667,33.05429964609244,33.5184,64.08475,108.0471
AR,2029,6.0,203501361.62333333,101519052.28553854,100303552.27,194013933.93,334844809.71,6.0,29.35365,14.643453054078465,14.4681,27.98515,48.299099999999996
AR,2032,6.0,190309890.615,95209174.85048681,92842046.99000001,180380932.91000003,314045246.61,6.0,27.450850000000003,13.733258259531858,13.3918,26.018700000000003,45.2988
AR,2035,6.0,207043993.95833334,103714136.9897651,100645701.84,195892506.45999998,342240550.55,6.0,29.864633333333334,14.960043698955785,14.5174,28.2561,49.3658
AR,2038,6.0,206098848.89166665,103067594.60499467,100457604.85000001,195129425.60500002,339560784.42999995,6.0,29.72836666666667,14.866800713894925,14.4903,28.1461,48.9794
AR,2041,6.0,221910053.44500002,110905145.55137303,108088976.58000001,209842969.95000002,364792323.77,6.0,32.00893333333333,15.997347608108871,15.591000000000001,30.268349999999998,52.6188
AR,2044,6.0,223427555.6716667,111720178.69614285,108714752.08,211196197.13500002,367615293.36,6.0,32.22785,16.114883190113417,15.6813,30.46355,53.0259
AR,2047,6.0,219376214.655,109802568.78890236,106537659.63,207226572.96999997,361588367.19,6.0,31.643483333333336,15.838235751297134,15.3673,29.89105,52.1565
AR,2050,6.0,216177549.24166667,108161640.36092202,105041988.15,204226502.225,356045233.28999996,6.0,31.18213333333333,15.601518069427303,15.151599999999998,29.45825,51.357
AZ,2010,6.0,634305321.4616666,335333896.6993683,264175758.22,543222362.9549999,1047614258.3199999,6.0,91.49411666666667,48.36952157796959,38.1057,78.35600000000001,151.111
AZ,2015,6.0,354391206.74833333,184883405.7006064,151847470.29999998,308435383.21500003,582600257.28,6.0,51.11841666666667,26.668141880409788,21.903,44.489549999999994,84.036
AZ,2020,6.0,155078201.515,86834285.91585775,58297548.5,128302769.10499999,274489522.85,6.0,22.368916666666667,12.525226082497142,8.408999999999999,18.50675,39.5932
AZ,2023,6.0,372903191.6766667,205520360.11163828,143305180.09,308552354.62,639597948.05,6.0,53.7887,29.64491386224625,20.6707,44.50655,92.2576
AZ,2026,6.0,364356317.35833335,201392210.68126318,139175146.35000002,300427226.695,625108535.9499999,6.0,52.55588333333333,29.049389629967557,20.075,43.334599999999995,90.1674
AZ,2029,6.0,302147752.235,166543139.96573216,116051143.80000001,249810101.865,517644007.73999995,6.0,43.582666666666675,24.022682417137904,16.7396,36.03325,74.6665
AZ,2032,6.0,207215916.38333333,113565284.4005918,80647307.66,172902916.89,356143086.93,6.0,29.889466666666674,16.381055276100703,11.632900000000001,24.939999999999998,51.371300000000005
AZ,2035,6.0,156533295.72,85464441.4785327,61553500.01,131690234.555,270402592.27,6.0,22.57885,12.327648116611703,8.878599999999999,18.9955,39.0037
AZ,2038,6.0,139833682.47666666,77310087.74211395,53772686.01,116678408.80000001,244623605.15,6.0,20.170016666666665,11.151423759398021,7.7563,16.83005,35.2852
AZ,2041,6.0,140511935.475,77999628.79410326,53685353.06,117047905.735,247099344.63,6.0,20.2679,11.250904270679758,7.7437,16.88335,35.6424
