eall,r,t,dr,Value
CO2,p100,2044,2.5,316539849.70699
CO2,p100,2044,2.0,497419763.82527006
CO2,p100,2044,1.5,782653474.55025
CO2,p101,2020,2.5,8099608807.725001
CO2,p101,2020,2.0,12824380612.231253
CO2,p101,2020,1.5,22948891621.887505
CO2,p101,2023,2.5,10615240654.109911
CO2,p101,2023,2.0,17018084223.25557
CO2,p101,2023,1.5,29655275478.14832
CO2,p101,2026,2.5,10197884105.814636
CO2,p101,2026,2.0,16532933323.063122
CO2,p101,2026,1.5,28121437988.76157
CO2,p101,2029,2.5,10934044923.88161
CO2,p101,2029,2.0,17906479368.09597
CO2,p101,2029,1.5,29791310807.09772
CO2,p101,2032,2.5,12002307829.296232
CO2,p101,2032,2.0,19565405913.510296
CO2,p101,2032,1.5,32060959270.037884
CO2,p101,2035,2.5,12177390894.43883
CO2,p101,2035,2.0,19640953055.5465
CO2,p101,2035,1.5,31818343949.98533
CO2,p101,2038,2.5,13187015007.958511
CO2,p101,2038,2.0,21067060561.494694
CO2,p101,2038,1.5,33771623800.869358
CO2,p101,2041,2.5,13278203188.726768
CO2,p101,2041,2.0,21030217767.116386
CO2,p101,2041,1.5,33387389520.78696
CO2,p101,2044,2.5,14496106250.69971
CO2,p101,2044,2.0,22779595536.81383
CO2,p101,2044,1.5,35842020949.53225
CO2,p101,2047,2.5,14638737422.513805
CO2,p101,2047,2.0,22839496083.29379
CO2,p101,2047,1.5,35638811002.45508
CO2,p101,2050,2.5,15556926123.3268
CO2,p101,2050,2.0,24113235491.15654
CO2,p101,2050,1.5,37336622695.98432
CO2,p102,2020,2.5,2950649010.28908
CO2,p102,2020,2.0,4671860932.95771
CO2,p102,2020,1.5,8360172195.81906
CO2,p102,2023,2.5,3258990170.3283124
CO2,p102,2023,2.0,5224730273.066024
CO2,p102,2023,1.5,9104480475.837824
CO2,p102,2026,2.5,3112319858.91024
CO2,p102,2026,2.0,5045730680.35448
CO2,p102,2026,1.5,8582457792.7524805
CO2,p102,2029,2.5,3461067483.6535797
CO2,p102,2029,2.0,5668125009.461659
CO2,p102,2029,1.5,9430154882.99816
CO2,p102,2032,2.5,3918016014.226786
CO2,p102,2032,2.0,6386902817.712158
CO2,p102,2032,1.5,10465933188.68799
CO2,p102,2035,2.5,4460851426.37187
CO2,p102,2035,2.0,7194921655.438499
CO2,p102,2035,1.5,11655773081.81037
CO2,p102,2038,2.5,5104384776.12068
CO2,p102,2038,2.0,8154565922.82694
CO2,p102,2038,1.5,13072204914.455399
CO2,p102,2041,2.5,5655205323.359046
CO2,p102,2041,2.0,8956799182.661148
CO2,p102,2041,1.5,14219735928.67737
CO2,p102,2044,2.5,6403525804.085228
CO2,p102,2044,2.0,10062683406.419643
CO2,p102,2044,1.5,15832893471.6393
CO2,p102,2047,2.5,7016960567.800754
CO2,p102,2047,2.0,10947928006.306934
CO2,p102,2047,1.5,17083176251.452097
CO2,p102,2050,2.5,7110797440.592
CO2,p102,2050,2.0,11021736032.9176
CO2,p102,2050,1.5,17065913857.4208
CO2,p103,2020,2.5,6123784047.99936
CO2,p103,2020,2.0,9695991409.33232
CO2,p103,2020,1.5,17350721469.33152
CO2,p103,2023,2.5,5136597164.037149
CO2,p103,2023,2.0,8234862120.12305
CO2,p103,2023,1.5,14349858743.976799
CO2,p103,2026,2.5,4702128685.01178
CO2,p103,2026,2.0,7623148019.64031
CO2,p103,2026,1.5,12966476070.79006
CO2,p103,2029,2.5,4347400955.092944
CO2,p103,2029,2.0,7119656636.601488
CO2,p103,2029,1.5,11845092457.354689
CO2,p103,2032,2.5,5711928122.14682
CO2,p103,2032,2.0,9311225295.00646
CO2,p103,2032,1.5,15257890189.2963
CO2,p103,2035,2.5,5289095588.872885
CO2,p103,2035,2.0,8530799336.89175
CO2,p103,2035,1.5,13819894925.764635
CO2,p103,2038,2.5,5947653531.609724
CO2,p103,2038,2.0,9501739178.547241
CO2,p103,2038,1.5,15231795629.73222
CO2,p103,2041,2.5,6754067102.672272
CO2,p103,2041,2.0,10697192983.423136
CO2,p103,2041,1.5,16982769882.44184
CO2,p103,2044,2.5,8052579120.082042
CO2,p103,2044,2.0,12654052902.986065
CO2,p103,2044,1.5,19910223099.103947
CO2,p103,2047,2.5,9165304161.018171
CO2,p103,2047,2.0,14299793926.614738
CO2,p103,2047,1.5,22313436831.798164
CO2,p103,2050,2.5,10786643810.0796
CO2,p103,2050,2.0,16719297905.62338
CO2,p103,2050,1.5,25887945144.19104
CO2,p104,2020,2.5,275518164.35784
CO2,p104,2020,2.0,436237093.56658
