,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,618400967.1500001,333594122.59317887,287159072.43,591565406.4000001,1144255463.95,6.0,89.19996666666667,48.11864002540665,41.42059999999999,85.3292,165.0508
AR,2010,6.0,2314894718.4266667,1122594973.6999493,1225987675.65,2262899687.505,3535179881.11,6.0,333.9073833333333,161.9265111851968,176.84,326.40755,509.925
AR,2015,6.0,297030191.54333335,148759673.65126094,145189344.5,282269116.82000005,492057668.69000006,6.0,42.844516666666664,21.457527480342804,20.942500000000003,40.7153,70.9759
AR,2020,6.0,182000151.43499997,91403703.19903168,88824835.82000001,173154138.29,303427769.31,6.0,26.252283333333335,13.18431220116039,12.8125,24.9763,43.767300000000006
AR,2023,6.0,1255380083.5166667,616997602.0936289,639639483.18,1211285788.09,2001962451.3200002,6.0,181.0798166666667,88.9975589533874,92.2636,174.71949999999998,288.7691
AR,2026,6.0,461022376.81166667,227977520.11998126,231330760.71,442203669.58,745263570.78,6.0,66.49923333333334,32.8841287144219,33.3678,63.784749999999995,107.499
AR,2029,6.0,296944685.07666665,146192788.6068425,149182374.35,283619298.635,472633761.26,6.0,42.8322,21.087281729895867,21.5187,40.9101,68.1742
AR,2032,6.0,237277121.64000002,118534498.68848675,115690013.51,224471184.915,389785543.15000004,6.0,34.22556666666667,17.097760755802693,16.6875,32.3784,56.2238
AR,2035,6.0,340083347.22,166908677.70647147,172574395.5,326381802.53499997,537957849.02,6.0,49.054633333333335,24.075413211961006,24.892699999999998,47.07835,77.59649999999999
AR,2038,6.0,239188300.045,119585806.47244892,116338379.38,225989109.87,393305821.78,6.0,34.50126666666666,17.249449052960117,16.781000000000002,32.59735,56.7317
AR,2041,6.0,236503209.71,118334088.15047844,114841834.18,223305135.73999998,389392953.43,6.0,34.11391666666667,17.068813198745442,16.5652,32.21015,56.1671
AR,2044,6.0,274260035.285,141550850.14601263,126749003.69,255164035.90500003,474508249.9,6.0,39.56008333333333,20.417747123658543,18.2826,36.80555,68.44460000000001
AR,2047,6.0,236570583.87166667,118718819.77956255,114223106.19999999,222928834.15500003,391544105.11,6.0,34.123650000000005,17.124361200436063,16.4758,32.155950000000004,56.4775
AR,2050,6.0,226145940.4666667,113597593.8705502,109080179.32,213121181.45,375095576.25,6.0,32.61996666666666,16.385674664860968,15.734,30.7412,54.105
AZ,2010,6.0,792236272.8649999,451202286.03483933,288519836.33,646936660.995,1419914388.24,6.0,114.27456666666667,65.08291912855988,41.616899999999994,93.31605,204.8129
AZ,2015,6.0,450573996.7949999,251376929.08588532,171002904.07000002,375162651.35,799067394.31,6.0,64.99210000000001,36.25935480396748,24.6659,54.1145,115.2599
AZ,2020,6.0,324031803.48,180278437.66766053,122570728.82000001,267119735.22,563559769.36,6.0,46.739200000000004,26.003940806577763,17.6799,38.52995,81.2895
AZ,2023,6.0,448558291.4633333,265619452.90832132,151519528.8,355014173.96,824146942.56,6.0,64.70143333333333,38.313883046314515,21.8555,51.208349999999996,118.8777
AZ,2026,6.0,448459915.9183333,267581970.65190902,149297285.94,352961392.11,828269933.15,6.0,64.68724999999999,38.59692304942196,21.535,50.9123,119.47240000000001
AZ,2029,6.0,363733607.68833333,198927053.63399675,141917745.85999998,303160245.59000003,621047956.12,6.0,52.465983333333334,28.693818276793813,20.470499999999998,43.728750000000005,89.5817
AZ,2032,6.0,223903609.41833332,123690065.9190798,86051568.11,186374289.39,389696849.03,6.0,32.296533333333336,17.841339285453508,12.4125,26.88325,56.2109
AZ,2035,6.0,163632351.59166667,90188214.11372212,63305197.03000001,136917006.45999998,285699980.21999997,6.0,23.602800000000002,13.00902958456164,9.1312,19.74925,41.2102
AZ,2038,6.0,151262992.26999998,84251581.66061811,57509080.589999996,125899641.43,267346194.93,6.0,21.818633333333334,12.152690971577723,8.2952,18.160249999999998,38.5628
AZ,2041,6.0,155145895.72333336,86364042.79811609,59109863.0,129359776.62,274560040.43,6.0,22.3787,12.457422180531573,8.526,18.65935,39.6034
