RPSCat,i,st,ast,t,Value
RPS_All,distpv,RI,RI,2041,991154.912475
RPS_All,distpv,RI,RI,2044,995710.714425
RPS_All,distpv,RI,RI,2047,1000534.504725
RPS_All,distpv,RI,RI,2050,1005492.2892
RPS_All,distpv,ME,CT,2026,2598696.649944
RPS_All,distpv,ME,CT,2038,3079794.473369
RPS_All,distpv,ME,RI,2038,12621.510631
RPS_All,distpv,ME,ME,2026,620711.170776
RPS_All,distpv,ME,ME,2029,3332078.22276
RPS_All,distpv,ME,ME,2032,3387589.62444
RPS_All,distpv,ME,ME,2035,3081896.70012
RPS_All,distpv,ME,ME,2041,3105343.29672
RPS_All,distpv,ME,ME,2044,3119411.25468
RPS_All,distpv,ME,ME,2047,3136013.97984
RPS_All,distpv,ME,ME,2050,3070248.796888
RPS_All,H2-CT,CA,CA,2032,0.0
RPS_All,H2-CT,PA,PA,2032,0.0
RPS_All,H2-CT,NY,NY,2041,7915693.742281
RPS_All,H2-CT,NY,NY,2044,7915693.742281
RPS_All,H2-CT,NY,NY,2047,8103716.807646
RPS_All,H2-CT,NY,NY,2050,8103716.807646
RPS_All,H2-CT,MA,MA,2038,-0.0
RPS_All,H2-CT,CT,CT,2047,0.0
RPS_All,H2-CT,CT,CT,2050,0.0
RPS_All,H2-CT,RI,RI,2050,0.0
RPS_All,upv_1,OR,OR,2026,1307490.244966
RPS_All,upv_1,OR,OR,2029,1276434.89706
RPS_All,upv_1,OR,OR,2032,1247683.887483
RPS_All,upv_1,OR,OR,2035,1230790.86871
RPS_All,upv_1,OR,OR,2038,1203842.478209
RPS_All,upv_1,OR,OR,2041,1164414.229487
RPS_All,upv_1,OR,OR,2044,1128365.745853
RPS_All,upv_1,OR,OR,2047,1081145.061197
RPS_All,upv_1,OR,OR,2050,767629.718452
RPS_All,upv_1,MT,CA,2032,869622.886137
RPS_All,upv_1,MT,CA,2038,1020428.267041
RPS_All,upv_1,MN,MN,2026,2035706.455211
RPS_All,upv_1,MN,MN,2029,3391543.975291
RPS_All,upv_1,MN,MN,2032,3328769.796672
RPS_All,upv_1,MN,MN,2035,9228232.866343
RPS_All,upv_1,MN,MN,2038,12215628.688355
RPS_All,upv_1,MN,MN,2041,11975873.114349
RPS_All,upv_1,MN,MN,2044,12377760.323323
RPS_All,upv_1,MN,MN,2047,12181561.203445
RPS_All,upv_1,MN,MN,2050,10529671.841898
RPS_All,upv_1,WI,WI,2026,4217602.844192
RPS_All,upv_1,WI,WI,2029,11134371.637052
RPS_All,upv_1,WI,WI,2032,11205224.081126
RPS_All,upv_1,WI,WI,2035,10973292.410495
RPS_All,upv_1,WI,WI,2038,10744630.594775
RPS_All,upv_1,WI,WI,2041,8842527.980325
RPS_All,upv_1,WI,WI,2044,10299954.499581
RPS_All,upv_1,WI,WI,2047,10081868.549416
RPS_All,upv_1,WI,WI,2050,6138568.284703
RPS_All,upv_1,MI,MI,2026,7423577.37894
RPS_All,upv_1,MI,MI,2029,21564747.490188
RPS_All,upv_1,MI,MI,2032,29328571.552488
RPS_All,upv_1,MI,MI,2035,35990992.929905
RPS_All,upv_1,MI,MI,2038,38095962.325511
RPS_All,upv_1,MI,MI,2041,37679820.181047
RPS_All,upv_1,MI,MI,2044,37549167.340753
RPS_All,upv_1,MI,MI,2047,36759988.559066
RPS_All,upv_1,MI,MI,2050,35660107.578694
RPS_All,upv_1,IL,MI,2038,15390.081
RPS_All,upv_1,IL,IL,2026,15390.081
RPS_All,upv_1,IL,IL,2029,15390.081
RPS_All,upv_1,IL,IL,2032,15390.081
RPS_All,upv_1,IL,IL,2035,15390.081
RPS_All,upv_1,IL,IL,2041,15757.848
RPS_All,upv_1,IL,IL,2044,15426.933192
RPS_All,upv_1,IL,IL,2047,15111.776232
RPS_All,upv_1,IL,IL,2050,14796.619272
RPS_All,upv_1,OH,IL,2026,193091.951391
RPS_All,upv_1,OH,OH,2026,8392562.909412
RPS_All,upv_1,OH,PA,2026,257497.900641
RPS_All,upv_1,PA,PA,2026,1349870.008262
RPS_All,upv_1,PA,PA,2032,713006.632079
RPS_All,upv_1,PA,PA,2035,971646.806346
RPS_All,upv_1,PA,PA,2038,1600298.782665
RPS_All,upv_1,PA,PA,2041,1568818.458522
RPS_All,upv_1,PA,PA,2044,1536466.211892
