,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,610929837.51,329240493.87708044,283949458.82,584513816.68,1129206510.02,6.0,88.12235,47.49060865357487,40.9578,84.312,162.8801
AR,2010,6.0,1295411299.72,636351725.4483966,660688823.2900001,1250195815.6999998,2062955284.7199998,6.0,186.85406666666665,91.78935576051651,95.29969999999999,180.33204999999998,297.567
AR,2015,6.0,300379145.8016667,151653530.28280303,144884588.71,284336376.95,504693796.47,6.0,43.327616666666664,21.874905967927422,20.898699999999998,41.0135,72.7985
AR,2020,6.0,180644286.265,90767396.92553675,88084419.77,171812187.45499998,301419649.26,6.0,26.056699999999996,13.092578727049917,12.7055,24.78275,43.4777
AR,2023,6.0,1245297470.8816667,612244485.2012386,634094269.61,1201378758.565,1987659280.92,6.0,179.62545,88.31203956944375,91.46360000000001,173.29055,286.706
AR,2026,6.0,702139447.1833333,346307478.807493,354530284.55,675091541.49,1128723428.05,6.0,101.27868333333333,49.952441929275764,51.1385,97.37720000000002,162.81040000000002
AR,2029,6.0,535429339.5466666,264506133.32311293,269186074.92,513847332.03999996,863523436.02,6.0,77.23195,38.15315621789369,38.828199999999995,74.1189,124.5572
AR,2032,6.0,228473656.40333334,114370363.02112143,111177847.43,216215197.195,377146843.89,6.0,32.955733333333335,16.497105333562814,16.0367,31.1875,54.400800000000004
AR,2035,6.0,248015409.30499998,126734190.45099944,116477278.99000001,231989254.78,423224704.69,6.0,35.774433333333334,18.280509512556446,16.8011,33.46275,61.0471
AR,2038,6.0,221300368.08833334,110816383.34820291,107514448.75999999,209208781.39000002,365326278.19000006,6.0,31.921000000000003,15.984497178829242,15.5082,30.176900000000003,52.6957
AR,2041,6.0,227287389.20333335,113892954.48497018,110197353.1,214637763.695,375513689.39,6.0,32.784666666666666,16.428281950546946,15.8952,30.960049999999995,54.1653
AR,2044,6.0,225540319.07833335,113069257.21641284,109193093.51,212820659.745,372805646.49,6.0,32.53261666666666,16.309447331459968,15.7504,30.6979,53.7747
AR,2047,6.0,209513553.07000002,105184426.81925607,101110933.9,197430708.9,347074250.21,6.0,30.220883333333337,15.172114993159877,14.5846,28.478,50.063100000000006
AR,2050,6.0,271025437.93833333,133485373.26636639,135186652.79000002,257226704.175,429401022.98,6.0,39.0936,19.254270200867133,19.4999,37.10325,61.9381
AZ,2010,6.0,634305385.0166667,335333932.3589967,264175782.72,543222422.265,1047614401.4,6.0,91.49411666666667,48.3695215779696,38.1057,78.35600000000001,151.111
AZ,2015,6.0,544504856.0933334,274357739.65691674,251767281.0,490400182.705,858067104.08,6.0,78.54100000000001,39.57411372182579,36.3158,70.73675,123.7702
AZ,2020,6.0,229991883.56499997,124034552.19574569,92301728.15,194458873.78,389978536.3,6.0,33.17466666666667,17.89111787157713,13.3138,28.0493,56.251599999999996
AZ,2023,6.0,392494737.96000004,216447934.49305642,150871793.55,325483179.23,676653536.9499999,6.0,56.614583333333336,31.221198711607258,21.7621,46.94855,97.6027
AZ,2026,6.0,367927380.3866666,203464545.28996512,140440301.97,303394974.385,632007907.44,6.0,53.070883333333335,29.348341507582106,20.2574,43.762550000000005,91.1627
AZ,2029,6.0,373619208.73499995,212097961.91243786,136385596.1,304291228.17,663388486.54,6.0,53.891983333333336,30.593701126500967,19.6726,43.8919,95.6892
AZ,2032,6.0,217769010.02666664,120059137.34508856,83928904.48,181279093.445,377525280.35,6.0,31.411716666666667,17.317732706496734,12.106200000000001,26.1483,54.4555
AZ,2035,6.0,209267605.52166665,115033066.21208127,81073275.55,174514412.71,361613132.9,6.0,30.18536666666667,16.59274688936906,11.6943,25.172400000000003,52.1601
AZ,2038,6.0,143394251.19333333,79457470.3535182,54964732.910000004,119601676.735,251777117.65,6.0,20.683616666666666,11.461176288918455,7.9283,17.251649999999998,36.317
AZ,2041,6.0,153601040.96,88467083.95443194,55014743.71,125031524.31,279352779.34000003,6.0,22.15585,12.760729488512792,7.9355,18.03485,40.2947
AZ,2044,6.0,143753458.33333334,79830176.07663326,54939771.32,119873949.77499999,253341271.60000002,6.0,20.735433333333333,11.51492733206192,7.9247,17.291,36.542699999999996
