i,r,t,Value
wind-ons_9,p68,2015,1879462.482836
wind-ons_9,p68,2020,1872657.899608
wind-ons_9,p68,2023,1868769.566334
wind-ons_9,p68,2026,1865367.27472
wind-ons_9,p68,2029,1861478.941446
wind-ons_9,p68,2032,1851400.732766
wind-ons_9,p68,2035,1872919.158102
wind-ons_9,p68,2038,2204923.048459
wind-ons_9,p68,2041,2907262.627038
wind-ons_9,p68,2044,2883942.985702
wind-ons_9,p68,2047,2860623.344365
wind-ons_9,p68,2050,6069325.993966
wind-ons_9,p69,2015,600042.2508
wind-ons_9,p69,2020,853103.66314
wind-ons_9,p69,2023,846216.42944
wind-ons_9,p69,2026,839329.195741
wind-ons_9,p69,2029,832441.962042
wind-ons_9,p69,2032,825554.728343
wind-ons_9,p69,2035,818667.494644
wind-ons_9,p69,2038,812380.303195
wind-ons_9,p69,2041,805753.931458
wind-ons_9,p69,2044,799466.740009
wind-ons_9,p69,2047,242601.624288
wind-ons_9,p69,2050,771506.465993
wind-ons_9,p70,2010,1500077.343
wind-ons_9,p70,2015,4804730.7951
wind-ons_9,p70,2020,13711233.261423
wind-ons_9,p70,2023,16609429.393416
wind-ons_9,p70,2026,16487426.629604
wind-ons_9,p70,2029,16365423.865791
wind-ons_9,p70,2032,16243421.101978
wind-ons_9,p70,2035,16121418.338165
wind-ons_9,p70,2038,16093113.593804
wind-ons_9,p70,2041,16847244.961658
wind-ons_9,p70,2044,16711866.955031
wind-ons_9,p70,2047,17794322.824475
wind-ons_9,p70,2050,9428174.93669
wind-ons_9,p71,2020,388764.684
wind-ons_9,p71,2023,385654.566528
wind-ons_9,p71,2026,382544.449056
wind-ons_9,p71,2029,2123985.331584
wind-ons_9,p71,2032,2106918.806112
wind-ons_9,p71,2035,3134341.41264
wind-ons_9,p71,2038,3108918.974112
wind-ons_9,p71,2041,3080390.480692
wind-ons_9,p71,2044,3050374.688413
wind-ons_9,p71,2047,3006603.632283
wind-ons_9,p71,2050,2559716.651205
wind-ons_9,p73,2050,98681.53466
wind-ons_9,p74,2023,301705.1856
wind-ons_9,p74,2026,299291.544115
wind-ons_9,p74,2029,296877.90263
wind-ons_9,p74,2032,2211934.635276
wind-ons_9,p74,2035,2213595.347213
wind-ons_9,p74,2038,2120530.218065
wind-ons_9,p74,2041,2652353.91986
wind-ons_9,p74,2044,2725707.891434
wind-ons_9,p74,2047,2739988.056721
wind-ons_9,p74,2050,2738264.234409
wind-ons_9,p75,2010,65264.7198
wind-ons_9,p75,2015,64438.8129
wind-ons_9,p75,2020,63549.3747
wind-ons_9,p75,2023,413225.3595
wind-ons_9,p75,2026,409979.166518
wind-ons_9,p75,2029,1398554.080637
wind-ons_9,p75,2032,5523211.180848
wind-ons_9,p75,2035,7952562.448188
wind-ons_9,p75,2038,8783732.988433
wind-ons_9,p75,2041,8649795.634712
wind-ons_9,p75,2044,8396205.924093
wind-ons_9,p75,2047,8690038.764677
wind-ons_9,p75,2050,8260055.468603
wind-ons_9,p76,2010,1006116.012
wind-ons_9,p76,2015,1534120.02
wind-ons_9,p76,2020,1527001.898196
wind-ons_9,p76,2023,1522777.866132
wind-ons_9,p76,2026,1518553.834068
wind-ons_9,p76,2029,1514329.802004
wind-ons_9,p76,2032,5283687.84654
wind-ons_9,p76,2035,5299041.989863
wind-ons_9,p76,2038,5264759.170538
wind-ons_9,p76,2041,5863170.602206
wind-ons_9,p76,2044,5779223.806368
wind-ons_9,p76,2047,5675709.834108
wind-ons_9,p76,2050,5559994.278209
wind-ons_9,p78,2029,-0.0
wind-ons_9,p78,2041,217692.36
wind-ons_9,p78,2044,215950.82112
wind-ons_9,p78,2047,214209.28224
wind-ons_9,p78,2050,212467.74336
wind-ons_9,p79,2029,-0.0
wind-ons_9,p79,2032,3582574.74
wind-ons_9,p79,2035,3553914.14208
wind-ons_9,p79,2038,4195620.56016
wind-ons_9,p79,2041,4161597.026112
wind-ons_9,p79,2044,4127573.492064
wind-ons_9,p79,2047,4093549.958016
wind-ons_9,p79,2050,4059526.423968
wind-ons_9,p80,2010,321134.4
wind-ons_9,p80,2015,316959.6528
wind-ons_9,p80,2020,312463.7712
wind-ons_9,p80,2023,309894.696
wind-ons_9,p80,2026,307646.7552
wind-ons_9,p80,2029,305077.68
wind-ons_9,p80,2032,302508.6048
wind-ons_9,p80,2035,300260.664
wind-ons_9,p80,2038,297691.5888
wind-ons_9,p80,2041,410571.36
wind-ons_9,p80,2044,407286.78912
wind-ons_9,p80,2047,404002.21824
wind-ons_9,p80,2050,400717.64736
wind-ons_9,p81,2015,1277373.672
wind-ons_9,p81,2020,1260767.814264
wind-ons_9,p81,2023,1679037.258888
wind-ons_9,p81,2026,1665390.36204
wind-ons_9,p81,2029,1651743.465192
wind-ons_9,p81,2032,1638096.568344
wind-ons_9,p81,2035,1624449.671496
wind-ons_9,p81,2038,1612080.14832
wind-ons_9,p81,2041,1598433.251472
wind-ons_9,p81,2044,1586492.21673
wind-ons_9,p81,2047,2042631.440658
wind-ons_9,p81,2050,2026502.919396
wind-ons_9,p82,2023,279911.214
wind-ons_9,p82,2026,277671.924288
wind-ons_9,p82,2029,275432.634576
wind-ons_9,p82,2032,273193.344864
wind-ons_9,p82,2035,270954.055152
wind-ons_9,p82,2038,268714.76544
wind-ons_9,p82,2041,266475.475728
wind-ons_9,p82,2044,264516.09723
wind-ons_9,p82,2047,262276.807518
wind-ons_9,p82,2050,260317.42902
wind-ons_9,p83,2010,853723.8255
wind-ons_9,p83,2015,1041358.8822
wind-ons_9,p83,2020,1038919.626463
wind-ons_9,p83,2023,1282479.906009
wind-ons_9,p83,2026,1279018.334676
wind-ons_9,p83,2029,1275556.763342
wind-ons_9,p83,2032,1272095.192009
wind-ons_9,p83,2035,1268633.620675
wind-ons_9,p83,2038,1808516.061798
wind-ons_9,p83,2041,1793879.448841
wind-ons_9,p83,2044,1779675.532301
wind-ons_9,p83,2047,1834086.84425
wind-ons_9,p83,2050,1819267.498932
wind-ons_9,p84,2035,39452.919515
wind-ons_9,p84,2038,39137.296159
wind-ons_9,p84,2041,890612.000737
wind-ons_9,p84,2044,1135242.157001
wind-ons_9,p84,2047,4166829.529088
wind-ons_9,p84,2050,4128746.650713
wind-ons_9,p85,2032,-0.0
wind-ons_9,p85,2038,0.0
wind-ons_9,p85,2041,-0.0
wind-ons_9,p85,2044,0.0
wind-ons_9,p97,2026,0.0
wind-ons_9,p97,2038,-0.0
wind-ons_9,p97,2044,-0.0
wind-ons_9,p97,2050,0.0
wind-ons_9,p98,2041,-0.0
wind-ons_9,p98,2047,-0.0
wind-ons_9,p99,2032,187369.848
wind-ons_9,p99,2035,185870.889216
wind-ons_9,p99,2038,184371.930432
wind-ons_9,p99,2041,182872.971648
wind-ons_9,p99,2044,181374.012864
wind-ons_9,p99,2047,179875.05408
wind-ons_9,p99,2050,178376.095296
wind-ons_9,p103,2015,2343347.64
wind-ons_9,p103,2020,2312884.12068
wind-ons_9,p103,2023,4109267.05956
wind-ons_9,p103,2026,4075999.24068
wind-ons_9,p103,2029,4042731.4218
wind-ons_9,p103,2032,4009463.60292
wind-ons_9,p103,2035,3976195.78404
wind-ons_9,p103,2038,3945271.3128
wind-ons_9,p103,2041,9128549.9772
wind-ons_9,p103,2044,9037940.713308
wind-ons_9,p103,2047,9476145.893844
wind-ons_9,p103,2050,9438180.328591
wind-ons_9,p104,2041,-0.0
wind-ons_9,p104,2047,0.0
wind-ons_9,p104,2050,0.0
wind-ons_9,p105,2010,440744.85
wind-ons_9,p105,2015,435015.16695
wind-ons_9,p105,2020,428844.73905
wind-ons_9,p105,2023,425318.78025
wind-ons_9,p105,2026,422233.5663
wind-ons_9,p105,2029,418707.6075
wind-ons_9,p105,2032,415181.6487
wind-ons_9,p105,2035,412096.43475
wind-ons_9,p105,2038,408570.47595
wind-ons_9,p105,2041,563503.5
wind-ons_9,p105,2044,558995.472
wind-ons_9,p105,2047,554487.444
wind-ons_9,p105,2050,549979.416
wind-ons_9,p107,2032,0.0
wind-ons_9,p107,2038,0.0
wind-ons_9,p107,2041,-0.0
wind-ons_9,p107,2044,0.0
wind-ons_9,p107,2050,-0.0
wind-ons_9,p115,2010,72281.25
wind-ons_9,p115,2015,72281.25
wind-ons_9,p115,2020,72281.25
wind-ons_9,p115,2023,72281.25
wind-ons_9,p115,2026,186457.95
wind-ons_9,p115,2029,185544.5364
wind-ons_9,p115,2032,184631.1228
wind-ons_9,p115,2035,229460.0292
wind-ons_9,p115,2038,227602.42704
wind-ons_9,p115,2041,225744.82488
wind-ons_9,p115,2044,223887.22272
wind-ons_9,p115,2047,222143.79726
wind-ons_9,p115,2050,220286.1951
wind-ons_9,p118,2026,0.0
wind-ons_9,p118,2044,-0.0
wind-ons_9,p118,2047,0.0
wind-ons_9,p118,2050,665919.99
wind-ons_9,p120,2038,-0.0
wind-ons_9,p120,2041,-0.0
wind-ons_9,p120,2044,-0.0
wind-ons_9,p120,2050,-0.0
wind-ons_9,p121,2038,0.0
wind-ons_9,p121,2041,0.0
wind-ons_9,p121,2044,0.0
wind-ons_9,p121,2047,0.0
wind-ons_9,p121,2050,-0.0
wind-ons_9,z122,2010,353434.284
wind-ons_9,z122,2015,353434.284
wind-ons_9,z122,2020,353434.284
wind-ons_9,z122,2023,353434.284
wind-ons_9,z122,2026,4038579.828
wind-ons_9,z122,2029,4009098.663648
wind-ons_9,z122,2032,3979617.499296
wind-ons_9,z122,2035,4049963.565444
wind-ons_9,z122,2038,4096286.392656
wind-ons_9,z122,2041,4110148.167468
wind-ons_9,z122,2044,4076041.95396
wind-ons_9,z122,2047,4045620.885996
wind-ons_9,z122,2050,4011514.672488
wind-ons_9,p123,2026,-0.0
wind-ons_9,p123,2029,-0.0
wind-ons_9,p123,2032,-0.0
wind-ons_9,p123,2038,-0.0
wind-ons_9,p123,2041,0.0
wind-ons_9,p123,2044,-0.0
wind-ons_9,p123,2047,0.0
wind-ons_9,p123,2050,-0.0
wind-ons_9,p124,2032,422612.871023
wind-ons_9,p124,2035,403896.506112
wind-ons_9,p124,2038,588217.596624
wind-ons_9,p124,2041,832374.378144
wind-ons_9,p124,2044,929527.310077
wind-ons_9,p124,2047,910594.906929
wind-ons_9,p124,2050,916191.164588
wind-ons_9,p125,2026,354410.73
wind-ons_9,p125,2029,351575.44416
wind-ons_9,p125,2032,348740.15832
wind-ons_9,p125,2035,345904.87248
wind-ons_9,p125,2038,343069.58664
wind-ons_9,p125,2041,340234.3008
wind-ons_9,p125,2044,337399.01496
wind-ons_9,p125,2047,334918.13985
wind-ons_9,p125,2050,332082.85401
wind-ons_9,p126,2026,228065.04
wind-ons_9,p126,2029,226240.51968
wind-ons_9,p126,2032,224415.99936
wind-ons_9,p126,2035,222591.47904
wind-ons_9,p126,2038,220766.95872
wind-ons_9,p126,2041,218942.4384
wind-ons_9,p126,2044,217117.91808
wind-ons_9,p126,2047,215521.4628
wind-ons_9,p126,2050,213696.94248
wind-ons_9,p127,2010,1001422.5375
wind-ons_9,p127,2015,2540734.1901
wind-ons_9,p127,2020,3341055.126616
wind-ons_9,p127,2023,3707074.552691
wind-ons_9,p127,2026,6779404.054965
wind-ons_9,p127,2029,6732693.446647
wind-ons_9,p127,2032,6752525.598328
wind-ons_9,p127,2035,6704435.58479
wind-ons_9,p127,2038,9415453.228404
wind-ons_9,p127,2041,9899520.83209
wind-ons_9,p127,2044,9811326.382119
wind-ons_9,p127,2047,10305694.755914
wind-ons_9,p127,2050,9435071.926027
wind-ons_9,p128,2026,323716.5
wind-ons_9,p128,2029,321126.768
wind-ons_9,p128,2032,237805.65144
wind-ons_9,p128,2035,217424.55456
wind-ons_9,p128,2038,221998.763143
wind-ons_9,p128,2041,308845.6128
wind-ons_9,p128,2044,308178.108
wind-ons_9,p128,2047,305912.0925
wind-ons_9,p128,2050,303322.3605
wind-ons_9,p129,2026,-0.0
wind-ons_9,p129,2038,1891505.304
wind-ons_9,p129,2041,2754341.633952
wind-ons_9,p129,2044,2700929.742336
wind-ons_9,p129,2047,2629661.282694
wind-ons_9,p129,2050,2617329.503941
wind-ons_9,p130,2050,1822176.4075
wind-ons_9,p131,2010,12028.26
wind-ons_9,p131,2015,12028.26
wind-ons_9,p131,2020,69375.6375
wind-ons_9,p131,2023,68916.85848
wind-ons_9,p131,2026,1954675.97796
wind-ons_9,p131,2029,1939127.455752
wind-ons_9,p131,2032,1923578.933544
wind-ons_9,p131,2035,1908030.411336
wind-ons_9,p131,2038,3092073.043029
wind-ons_9,p131,2041,3720813.007752
wind-ons_9,p131,2044,4354892.088417
wind-ons_9,p131,2047,4321046.600597
wind-ons_9,p131,2050,4232383.265447
wind-ons_9,p132,2041,553360.896
wind-ons_9,p132,2044,548934.008832
wind-ons_9,p132,2047,1262721.197664
wind-ons_9,p132,2050,1599890.586736
wind-ons_9,p133,2010,3639.474
wind-ons_9,p133,2015,8308.2465
wind-ons_9,p133,2020,74022.612458
wind-ons_9,p133,2023,90287.423006
wind-ons_9,p133,2026,89559.896737
wind-ons_9,p133,2029,88832.37047
wind-ons_9,p133,2032,88104.844201
wind-ons_9,p133,2035,87377.317934
wind-ons_9,p133,2038,1914821.040438
wind-ons_9,p133,2041,1857893.939073
wind-ons_9,p133,2044,2335190.814963
wind-ons_9,p133,2047,2606814.379722
wind-ons_9,p133,2050,2559196.443801
wind-ons_10,p1,2010,231376.662
wind-ons_10,p1,2015,228368.765394
wind-ons_10,p1,2020,225129.492126
wind-ons_10,p1,2023,223278.47883
wind-ons_10,p1,2026,221658.842196
wind-ons_10,p1,2029,219807.8289
wind-ons_10,p1,2032,217956.815604
wind-ons_10,p1,2035,216337.17897
wind-ons_10,p1,2038,214486.165674
wind-ons_10,p1,2041,295865.46
wind-ons_10,p1,2044,293498.53632
wind-ons_10,p1,2047,291131.61264
wind-ons_10,p1,2050,288764.68896
wind-ons_10,p2,2010,218304.24
wind-ons_10,p2,2015,722243.98488
wind-ons_10,p2,2020,712599.61542
wind-ons_10,p2,2023,706798.9599
wind-ons_10,p2,2026,701216.60862
wind-ons_10,p2,2029,930835.6491
wind-ons_10,p2,2032,1457538.768012
wind-ons_10,p2,2035,1434088.5543
wind-ons_10,p2,2038,1434345.629664
wind-ons_10,p2,2041,1500852.90696
wind-ons_10,p2,2044,1488914.304564
wind-ons_10,p2,2047,1662790.523568
wind-ons_10,p2,2050,1649426.490768
wind-ons_10,p5,2010,1227007.1808
wind-ons_10,p5,2015,2051050.25065
wind-ons_10,p5,2020,2022952.225997
wind-ons_10,p5,2023,2929668.445145
wind-ons_10,p5,2026,2906973.423734
wind-ons_10,p5,2029,3162957.123043
wind-ons_10,p5,2032,3136795.848629
wind-ons_10,p5,2035,4063128.677395
wind-ons_10,p5,2038,4030197.260376
wind-ons_10,p5,2041,4437700.142438
wind-ons_10,p5,2044,4402956.883956
wind-ons_10,p5,2047,4675258.728627
wind-ons_10,p5,2050,4638042.671037
wind-ons_10,p6,2029,0.0
wind-ons_10,p6,2038,-0.0
wind-ons_10,p6,2041,-0.0
wind-ons_10,p6,2044,-0.0
wind-ons_10,p6,2047,-0.0
wind-ons_10,p6,2050,-0.0
wind-ons_10,p9,2015,970845.6186
wind-ons_10,p9,2020,958224.625558
wind-ons_10,p9,2023,950457.860609
wind-ons_10,p9,2026,942691.095661
wind-ons_10,p9,2029,934924.330712
wind-ons_10,p9,2032,927157.565763
wind-ons_10,p9,2035,919390.800814
wind-ons_10,p9,2038,894766.551588
wind-ons_10,p9,2041,904798.941394
wind-ons_10,p9,2044,898032.197205
wind-ons_10,p9,2047,1243020.7764
wind-ons_10,p9,2050,1237859.770118
wind-ons_10,p10,2015,4777756.704
wind-ons_10,p10,2020,4715645.866848
wind-ons_10,p10,2023,4677423.813216
wind-ons_10,p10,2026,4639201.759584
wind-ons_10,p10,2029,4600979.705952
