RPSCat,i,st,ast,t,Value
RPS_All,can-imports,MI,MI,2026,4126706.585125
RPS_All,can-imports,MI,MI,2029,4122216.507375
RPS_All,can-imports,MI,MI,2032,4967684.836625
RPS_All,can-imports,MI,MI,2035,5219187.340235
RPS_All,can-imports,MI,MI,2038,4838340.186415
RPS_All,can-imports,MI,MI,2041,4047075.291955
RPS_All,can-imports,MI,MI,2044,3625066.418475
RPS_All,can-imports,MI,MI,2047,3225997.491735
RPS_All,can-imports,MI,MI,2050,2972150.658955
RPS_All,can-imports,NY,NY,2026,12581589.240625
RPS_All,can-imports,NY,NY,2029,12987176.348125
RPS_All,can-imports,NY,NY,2032,13989001.31625
RPS_All,can-imports,NY,NY,2035,14024906.924237
RPS_All,can-imports,NY,NY,2038,13588763.147625
RPS_All,can-imports,NY,NY,2041,12925767.481875
RPS_All,can-imports,NY,NY,2044,12567380.166165
RPS_All,can-imports,NY,NY,2047,12391295.18076
RPS_All,can-imports,NY,NY,2050,12349722.7435
RPS_All,can-imports,VT,VT,2026,10538321.782284
RPS_All,can-imports,VT,VT,2029,10135453.258568
RPS_All,can-imports,VT,VT,2032,14565821.940195
RPS_All,can-imports,VT,VT,2035,15653604.323286
RPS_All,can-imports,VT,VT,2038,16342780.550707
RPS_All,can-imports,VT,VT,2041,17500202.979099
RPS_All,can-imports,VT,VT,2044,17792623.491498
RPS_All,can-imports,VT,VT,2047,17959003.476932
RPS_All,can-imports,VT,VT,2050,17879419.91163
RPS_All,can-imports,VT,ME,2026,5151767.394313
RPS_All,can-imports,VT,ME,2029,3865819.704978
RPS_All,can-imports,VT,ME,2032,3181507.761072
RPS_All,can-imports,VT,ME,2035,1420636.252012
RPS_All,can-imports,VT,ME,2038,202795.8552
RPS_All,can-imports,ME,ME,2026,791962.50749
RPS_All,can-imports,ME,ME,2029,1510773.716152
RPS_All,can-imports,ME,ME,2032,665090.989815
RPS_All,can-imports,ME,ME,2035,660171.243328
RPS_All,can-imports,ME,ME,2038,754273.70816
RPS_All,can-imports,ME,ME,2041,252497.03202
RPS_All,can-imports,ME,ME,2044,640633.58551
