,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,350119546.74666667,189259076.27076533,162250472.36,334784963.065,649297117.8,6.0,50.502266666666664,27.29927740968003,23.4034,48.2904,93.6565
AR,2010,6.0,1295511094.675,636400910.8594699,660739212.0,1250291703.63,2063115391.77,6.0,186.86843333333331,91.79641478551692,95.3069,180.3459,297.59000000000003
AR,2015,6.0,297050493.78833336,148747794.0097181,145234039.44,282306207.455,491953195.85,6.0,42.847433333333335,21.455846349623844,20.949,40.72065,70.96090000000001
AR,2020,6.0,182105754.13000003,91458578.08748607,88873176.59,173252542.45,303614328.92,6.0,26.267500000000002,13.192300420169335,12.8192,24.9905,43.7943
AR,2023,6.0,1255530748.515,617067863.5831693,639722083.56,1211431615.5500002,2002166538.1,6.0,181.1015166666667,89.00774970474014,92.2753,174.7405,288.7986
AR,2026,6.0,460982700.8733333,227996739.10728756,231233431.19,442122232.28,745487647.8,6.0,66.49353333333333,32.8869307152654,33.3537,63.77305,107.5314
AR,2029,6.0,216243820.26999998,107845641.04499038,106566212.58999999,206080217.05499998,355508079.0,6.0,31.19165,15.555999227275631,15.371400000000001,29.72565,51.2796
AR,2032,6.0,153415043.26166666,76712733.7295953,75197095.77000001,145912754.425,253403010.52999997,6.0,22.129050000000003,11.065238771350577,10.846599999999999,21.047,36.551500000000004
AR,2035,6.0,95144986.20166667,47596240.214634955,46542947.12,90379844.77499999,157190840.64,6.0,13.723999999999998,6.865430846785946,6.7135,13.036650000000002,22.6737
AR,2038,6.0,99677762.83,49854936.143255174,48759412.43,94668744.99000001,164598653.04000002,6.0,14.377833333333333,7.191240784917903,7.0333,13.6553,23.742199999999997
AR,2041,6.0,99617282.16166668,49844033.401694626,48680101.82,94565398.685,164591175.48000002,6.0,14.369083333333336,7.1896578626292555,7.0217,13.6404,23.741100000000003
AR,2044,6.0,97198574.19500001,48819192.90784776,47193803.93,92097561.82,161721410.21,6.0,14.020216666666665,7.041866389932904,6.8074,13.28445,23.3273
AR,2047,6.0,101613133.08666666,51604769.549119726,48371825.150000006,95627048.55,172082569.14,6.0,14.656983333333335,7.443594539848787,6.9774,13.79355,24.8216
AR,2050,6.0,69788414.73166667,36260669.31319754,32033927.52,64888824.650000006,121979983.23,6.0,10.0665,5.2303509216877595,4.6206,9.3598,17.5948
AZ,2010,6.0,634135733.9900001,335263974.58246315,264072933.91,543041746.98,1047364909.97,6.0,91.46963333333333,48.359593394347996,38.0905,78.32995,151.0752
AZ,2015,6.0,363417779.9983333,189672078.90811345,155574679.32,316136653.93,597571310.14,6.0,52.42053333333333,27.358842048059465,22.4406,45.6006,86.1955
AZ,2020,6.0,318243088.84166664,176814439.1201132,120633084.39,262404636.88,552120163.35,6.0,45.90433333333334,25.504331379251383,17.400399999999998,37.84995,79.6396
AZ,2023,6.0,375126077.4766667,206916503.40801978,143948314.23000002,310252798.55,644091004.13,6.0,54.109333333333325,29.846327377864544,20.7635,44.751850000000005,92.9057
AZ,2026,6.0,369788386.2583334,204780138.54878876,140782480.97,304618337.19,636036083.6800001,6.0,53.33936666666667,29.53807196278502,20.3069,43.93915,91.74369999999999
AZ,2029,6.0,295702637.52,163167255.3809107,113377323.38000001,244429154.54000002,507643326.64,6.0,42.65303333333333,23.53572629545701,16.3539,35.2572,73.2241
AZ,2032,6.0,192767345.12166667,105515519.51587473,75192900.13,160977721.485,330867506.89,6.0,27.805333333333337,15.219928305043577,10.846,23.2199,47.7254
AZ,2035,6.0,136118940.525,74250678.04685166,53602102.690000005,114547296.08,234797165.32,6.0,19.634216666666664,10.710188301503697,7.7317,16.5226,33.8679
AZ,2038,6.0,113466799.16166668,62376505.95034245,44048514.49,94940633.37,197108147.13,6.0,16.366833333333332,8.99735522043376,6.3536,13.69465,28.4314
AZ,2041,6.0,110630894.52499999,61187732.433239475,42475326.64,92167615.13499999,193243605.25,6.0,15.957716666666665,8.825941205880916,6.1267,13.29445,27.8741
