eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CO2,p12,2038,4965988.662575,1.5,422.0,0.8118492774834588,1242197108.3859887
CO2,p12,2039,4965988.662575,2.5,170.0,0.6904655568389862,425592136.4101765
CO2,p12,2039,4965988.662575,2.0,263.0,0.7430147299885189,708526056.8324018
CO2,p12,2039,4965988.662575,1.5,426.0,0.7998515049098116,1235439890.207156
CO2,p12,2040,5066323.570269001,2.5,173.0,0.67362493350145,431076264.6771572
CO2,p12,2040,5066323.570269001,2.0,267.0,0.7284458137142342,719446273.299828
CO2,p12,2040,5066323.570269001,1.5,431.0,0.7880310393200115,1256349433.6119916
CO2,p12,2041,5066323.570269001,2.5,176.0,0.6571950570745855,427855195.73201567
CO2,p12,2041,5066323.570269001,2.0,271.0,0.7141625624649355,715906367.2771292
CO2,p12,2041,5066323.570269001,1.5,436.0,0.7763852604138046,1252142121.209305
CO2,p12,2042,5066323.570269001,2.5,179.0,0.641165909341059,424534811.72966075
CO2,p12,2042,5066323.570269001,2.0,275.0,0.700159374965623,712228677.3793883
CO2,p12,2042,5066323.570269001,1.5,441.0,0.7649115866145859,1247784777.5416992
CO2,p12,2043,4688413.617256,2.5,182.0,0.6255277164303016,389709322.49269336
CO2,p12,2043,4688413.617256,2.0,279.0,0.6864307597702186,655577121.7635403
CO2,p12,2043,4688413.617256,1.5,446.0,0.7536074744971291,1150543134.8843944
CO2,p12,2044,4688413.617256,2.5,186.0,0.6102709428588309,388560353.7048565
CO2,p12,2044,4688413.617256,2.0,283.0,0.6729713331080575,651937330.3081098
CO2,p12,2044,4688413.617256,1.5,451.0,0.7424704182237725,1146247882.2877948
CO2,p12,2045,4688413.617256,2.5,189.0,0.5953862857159326,385197518.2282606
CO2,p12,2045,4688413.617256,2.0,287.0,0.6597758167726053,648188227.6672469
CO2,p12,2045,4688413.617256,1.5,456.0,0.7314979489889384,1141828305.6223924
CO2,p12,2046,4803030.921858,2.5,192.0,0.5808646689911537,391100619.1424466
CO2,p12,2046,4803030.921858,2.0,291.0,0.6468390360515739,660087522.749998
CO2,p12,2046,4803030.921858,1.5,462.0,0.7206876344718607,1167619554.007068
CO2,p12,2047,4803030.921858,2.5,195.0,0.56669723804015,387523479.3332169
CO2,p12,2047,4803030.921858,2.0,296.0,0.6341559176976214,658263953.6891024
