r,t,Value
p55,2015,-921906.829033
p55,2020,5148469.706089
p55,2023,5391508.781863
p55,2026,4995738.494778
p55,2029,5283304.838875
p55,2032,2502168.83265
p55,2035,3213249.902319
p55,2038,1876630.395878
p55,2041,-5902501.790523
p55,2044,-5666854.533467
p55,2047,-5397034.070288
p55,2050,-8626215.524594
p56,2010,11821248.198204
p56,2015,11834189.371336
p56,2020,12621644.260223
p56,2023,12604707.099063
p56,2026,12542218.97078
p56,2029,13118705.651565
p56,2032,8797031.840937
p56,2035,9151877.364888
p56,2038,10119208.770316
p56,2041,10456869.719802
p56,2044,7541548.273513
p56,2047,6221428.983364
p56,2050,7204484.442302
p57,2010,-23167615.195814
p57,2015,-2767597.471512
p57,2020,554901.816627
p57,2023,5756456.119653
p57,2026,5734332.221042
p57,2029,5888310.052789
p57,2032,4990305.540921
p57,2035,6257826.071698
p57,2038,2522294.247707
p57,2041,3692827.724076
p57,2044,1562126.909942
p57,2047,1330668.361659
p57,2050,1631081.632824
p58,2010,7262988.411266
p58,2015,5781970.948475
p58,2020,-11707942.601664
p58,2023,3219083.592814
p58,2026,-558640.544259
p58,2029,3394240.542179
p58,2032,-5044576.969213
p58,2035,-2276172.326192
p58,2038,2427611.436303
p58,2041,13117585.489676
p58,2044,10808622.812441
p58,2047,13572524.799388
p58,2050,11590643.832283
p59,2010,1174095.94968
p59,2015,1174095.94968
p59,2020,919402.006336
p59,2023,1174095.94968
p59,2026,1143696.98331
p59,2029,1081072.918574
p59,2032,188197.870635
p59,2035,210922.54208
p59,2038,255523.754628
p59,2041,350701.577049
p59,2044,140698.300945
p59,2047,27671.148201
p59,2050,-221809.22827
p60,2010,-10891837.01574
p60,2015,-10787364.500277
p60,2020,-23916412.008569
p60,2023,-39115585.502411
p60,2026,-50420762.838986
p60,2029,-52435658.596376
p60,2032,-51676207.914349
p60,2035,-51679405.470113
p60,2038,-52760912.717591
p60,2041,-54287002.67486
p60,2044,-53040213.705265
p60,2047,-53168993.420767
p60,2050,-40886820.795257
p61,2010,65332.81569
p61,2015,-9687.633702
p61,2020,-4531425.552048
p61,2023,-19877750.274503
p61,2026,-23110444.409488
p61,2029,-34006284.173506
p61,2032,-33044866.263816
p61,2035,-36961100.773799
p61,2038,-37086553.069024
p61,2041,-37422330.168452
p61,2044,-35835883.923233
p61,2047,-35108782.78403
