eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CO2,p117,2027,18501236.831407,1.5,370.0,0.9563169937410252,4779707173.651302
CO2,p117,2028,21356264.754991002,2.5,139.0,0.9059506447997552,1963548195.9530747
CO2,p117,2028,21356264.754991002,2.0,223.0,0.9238454260265142,3212376224.6293716
CO2,p117,2028,21356264.754991002,1.5,375.0,0.9421842302867244,5509209981.796784
CO2,p117,2029,21356264.754991002,2.5,141.0,0.8838542876095173,1943220183.39627
CO2,p117,2029,21356264.754991002,2.0,226.0,0.905730809829916,3191756910.077544
CO2,p117,2029,21356264.754991002,1.5,380.0,0.9282603254056396,5500163659.987594
CO2,p117,2030,21356264.754991002,2.5,144.0,0.8622968659605048,1936161262.1280944
CO2,p117,2030,21356264.754991002,2.0,230.0,0.887971382186192,3184557041.9826255
CO2,p117,2030,21356264.754991002,1.5,384.0,0.914542192517872,5475921300.065433
CO2,p117,2031,17697951.656513,2.5,147.0,0.8412652350834192,1597975852.309932
CO2,p117,2031,17697951.656513,2.0,234.0,0.8705601786139138,2632295190.640586
CO2,p117,2031,17697951.656513,1.5,389.0,0.9010267906580018,4529051309.225662
CO2,p117,2032,17697951.656513,2.5,150.0,0.8207465708130922,1590817175.022332
CO2,p117,2032,17697951.656513,2.0,237.0,0.8534903711901114,2613767220.4701643
CO2,p117,2032,17697951.656513,1.5,394.0,0.887711123800987,4519473237.769982
CO2,p117,2033,17697951.656513,2.5,153.0,0.8007283617688704,1583057091.241735
CO2,p117,2033,17697951.656513,2.0,241.0,0.8367552658726582,2605766112.903572
CO2,p117,2033,17697951.656513,1.5,398.0,0.874592240198017,4497887896.357814
CO2,p117,2034,17584645.411583,2.5,155.0,0.7811984017257273,1554617636.719538
CO2,p117,2034,17584645.411583,2.0,245.0,0.8203482998751551,2580446817.9152007
CO2,p117,2034,17584645.411583,1.5,403.0,0.8616672317221843,4458360370.930698
CO2,p117,2035,17584645.411583,2.5,158.0,0.7621447821714413,1546055619.8375263
CO2,p117,2035,17584645.411583,2.0,248.0,0.8042630390932893,2560827574.4016404
CO2,p117,2035,17584645.411583,1.5,408.0,0.848933233223827,4446970458.8485985
CO2,p117,2036,17584645.411583,2.5,161.0,0.7435558850453087,1536986445.1611102
CO2,p117,2036,17584645.411583,2.0,252.0,0.7884931755816562,2551109063.682849
CO2,p117,2036,17584645.411583,1.5,412.0,0.836387421895396,4424205131.473059
CO2,p117,2037,17278810.213457,2.5,164.0,0.7254203756539598,1500874445.4632432
CO2,p117,2037,17278810.213457,2.0,256.0,0.773032525080055,2496597306.514772
CO2,p117,2037,17278810.213457,1.5,417.0,0.8240270166457105,4334991706.681294
CO2,p117,2038,17278810.213457,2.5,167.0,0.7077271957599608,1491053137.3727639
CO2,p117,2038,17278810.213457,2.0,259.0,0.7578750245882894,2476327751.176954
CO2,p117,2038,17278810.213457,1.5,422.0,0.8118492774834588,4322137955.179516
CO2,p117,2039,17278810.213457,2.5,170.0,0.6904655568389862,1480818071.291777
CO2,p117,2039,17278810.213457,2.0,263.0,0.7430147299885189,2465266858.049582
CO2,p117,2039,17278810.213457,1.5,426.0,0.7998515049098116,4298626687.148867
CO2,p117,2040,17011361.711626,2.5,173.0,0.67362493350145,1447438988.4518144
CO2,p117,2040,17011361.711626,2.0,267.0,0.7284458137142342,2415708475.2750764
CO2,p117,2040,17011361.711626,1.5,431.0,0.7880310393200115,4218485920.7946863
CO2,p117,2041,17011361.711626,2.5,176.0,0.6571950570745855,1436623499.0414176
CO2,p117,2041,17011361.711626,2.0,271.0,0.7141625624649355,2403822416.095857
CO2,p117,2041,17011361.711626,1.5,436.0,0.7763852604138046,4204358889.2059565
CO2,p117,2042,17011361.711626,2.5,179.0,0.641165909341059,1425474536.1885462
CO2,p117,2042,17011361.711626,2.0,275.0,0.700159374965623,2391473715.4560475
CO2,p117,2042,17011361.711626,1.5,441.0,0.7649115866145859,4189728092.6917953
CO2,p117,2043,16009565.959941998,2.5,182.0,0.6255277164303016,1330743746.8161447
CO2,p117,2043,16009565.959941998,2.0,279.0,0.6864307597702186,2238604788.21087
CO2,p117,2043,16009565.959941998,1.5,446.0,0.7536074744971291,3928769454.1060357
CO2,p117,2044,16009565.959941998,2.5,186.0,0.6102709428588309,1326820353.298327
CO2,p117,2044,16009565.959941998,2.0,283.0,0.6729713331080575,2226175961.2891846
