i,r,t,Value
wind-ons_8,p44,2015,659414.14446
wind-ons_8,p44,2020,659414.14446
wind-ons_8,p44,2023,631641.27366
wind-ons_8,p44,2026,675510.32766
wind-ons_8,p44,2029,550052.501568
wind-ons_8,p44,2032,443410.656507
wind-ons_8,p44,2035,335083.527536
wind-ons_8,p44,2038,28265.941133
wind-ons_8,p44,2041,32729.98464
wind-ons_8,p44,2044,1074294.842009
wind-ons_8,p44,2047,1062487.1172
wind-ons_8,p44,2050,1046913.298597
wind-ons_8,p45,2010,754856.526
wind-ons_8,p45,2015,754856.526
wind-ons_8,p45,2020,754856.526
wind-ons_8,p45,2023,744155.283
wind-ons_8,p45,2026,754856.526
wind-ons_8,p45,2029,485466.7284
wind-ons_8,p45,2032,681530.105609
wind-ons_8,p45,2035,591048.506346
wind-ons_8,p45,2038,603975.546314
wind-ons_8,p45,2041,1190107.796831
wind-ons_8,p45,2044,1070850.350558
wind-ons_8,p45,2047,1018020.330202
wind-ons_8,p45,2050,992885.391613
wind-ons_8,p47,2010,71846.1684
wind-ons_8,p47,2015,71846.1684
wind-ons_8,p47,2020,56039.59094
wind-ons_8,p47,2023,40269.329802
wind-ons_8,p47,2026,38426.9292
wind-ons_8,p47,2029,48756.6324
wind-ons_8,p47,2032,53981.226
wind-ons_8,p47,2035,55426.020509
wind-ons_8,p47,2038,111568.607496
wind-ons_8,p47,2041,116601.724944
wind-ons_8,p47,2044,115104.949675
wind-ons_8,p47,2047,113785.627392
wind-ons_8,p47,2050,64602.192207
wind-ons_8,p50,2010,219740.4705
wind-ons_8,p50,2015,219740.4705
wind-ons_8,p50,2020,219740.4705
wind-ons_8,p50,2023,210638.0112
wind-ons_8,p50,2026,207352.9488
wind-ons_8,p50,2029,164523.7104
wind-ons_8,p50,2032,151298.0112
wind-ons_8,p50,2035,147485.7129
wind-ons_8,p50,2038,147109.794
wind-ons_8,p50,2050,363090.4821
wind-ons_8,p54,2010,143786.7666
wind-ons_8,p54,2015,143786.7666
wind-ons_8,p54,2020,143786.7666
wind-ons_8,p54,2023,139436.9802
wind-ons_8,p54,2026,136781.6028
wind-ons_8,p54,2029,117495.5886
wind-ons_8,p54,2032,112628.2554
wind-ons_8,p54,2035,2631817.876305
wind-ons_8,p54,2038,2861949.209128
wind-ons_8,p54,2041,12833431.056126
wind-ons_8,p54,2044,15332082.030453
wind-ons_8,p54,2047,14447926.517243
wind-ons_8,p54,2050,14024320.241801
wind-ons_8,p55,2047,4708600.050661
wind-ons_8,p55,2050,7706034.6935
wind-ons_8,p60,2010,894177.96
wind-ons_8,p60,2015,877792.5
wind-ons_8,p60,2020,877792.5
wind-ons_8,p60,2023,877792.5
wind-ons_8,p60,2026,867012.534
wind-ons_8,p60,2029,9410247.851201
wind-ons_8,p60,2032,9407920.93259
wind-ons_8,p60,2035,9420179.127264
wind-ons_8,p60,2038,9152147.4633
wind-ons_8,p60,2041,5979334.828555
wind-ons_8,p60,2044,5201226.349646
wind-ons_8,p60,2047,4978790.048848
wind-ons_8,p60,2050,4782166.858002
wind-ons_8,p61,2010,55363.04508
wind-ons_8,p61,2015,189.43728
wind-ons_8,p61,2020,189.43728
wind-ons_8,p61,2023,189.43728
wind-ons_8,p61,2026,87313.71834
wind-ons_8,p61,2029,86554.053293
wind-ons_8,p61,2032,78997.054562
wind-ons_8,p61,2035,70740.910656
wind-ons_8,p61,2038,50771.404594
wind-ons_8,p61,2041,43313.216256
wind-ons_8,p61,2044,40103.489899
wind-ons_8,p61,2047,26962.071601
wind-ons_8,p61,2050,30432.42416
wind-ons_8,p62,2010,186280.31715
wind-ons_8,p62,2015,186280.31715
wind-ons_8,p62,2020,2269.46715
wind-ons_8,p62,2023,2248.7601
wind-ons_8,p62,2026,292840.777425
wind-ons_8,p62,2029,289619.3031
wind-ons_8,p62,2032,265992.106575
wind-ons_8,p62,2035,247799.816775
wind-ons_8,p62,2038,196892.689133
wind-ons_8,p62,2041,157394.582947
wind-ons_8,p62,2044,112125.9888
