,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,98578129.71833332,52285026.23633502,46430167.269999996,94454328.92500001,178872782.53,6.0,14.219233333333335,7.5417093297651485,6.6973,13.62435,25.8011
AR,2010,6.0,1339027552.84,656694972.34957,684797804.07,1292627885.6399999,2121848359.54,6.0,193.1454,94.72372619207924,98.77730000000001,186.45255,306.0619
AR,2015,6.0,303139458.9733333,153099776.02795807,146106058.94,286856497.45,509580732.89,6.0,43.72578333333333,22.08366149237184,21.0747,41.37705,73.5036
AR,2020,6.0,191954702.46166667,96010030.20204054,94234624.93,182844783.44,317513055.62,6.0,27.688166666666664,13.848794652195066,13.592699999999999,26.3741,45.7992
AR,2023,6.0,1458683194.8766668,740369854.8896731,699910005.7800001,1380775408.8400002,2475083477.58,6.0,210.40488333333334,106.79314982172623,100.9573,199.16725,357.01349999999996
AR,2026,6.0,623230683.47,307485219.3530899,314295191.94,598808481.89,1002332833.63,6.0,89.89670000000001,44.35255892031485,45.3349,86.37405,144.5795
AR,2029,6.0,204881142.34166667,102240828.83578676,100954112.52,195341744.25,337373504.85,6.0,29.55265,14.747483568900833,14.561900000000001,28.1767,48.663700000000006
AR,2032,6.0,101446039.74166667,50782974.70835814,49531567.269999996,96275399.765,167757609.4,6.0,14.632916666666665,7.325086391686221,7.1446,13.8871,24.197899999999997
AR,2035,6.0,24328232.47666667,12392366.045717519,11472969.95,22775880.7,41302170.4,6.0,3.5092,1.787507051734342,1.655,3.2852499999999996,5.9576
AR,2038,6.0,29318489.293333333,14872577.240022572,13948360.68,27552395.085,49506419.23,6.0,4.228983333333333,2.145246622108206,2.0119,3.9742499999999996,7.1409
AR,2041,6.0,24057471.266666666,12303242.820008688,11272288.15,22475254.085,41082150.08,6.0,3.470133333333333,1.7746596695329129,1.6260000000000001,3.24195,5.9259
AR,2044,6.0,23004056.655,11782276.298848903,10747177.120000001,21465337.62,39358915.64,6.0,3.3181833333333337,1.6995299390321628,1.5502,3.09625,5.6773
AR,2047,6.0,18212084.118333336,9453246.334735096,8309669.720000001,16841148.735,31687385.43,6.0,2.6270000000000002,1.3635650596872892,1.1985999999999999,2.42925,4.5707
AR,2050,6.0,22260512.481666666,12086312.649192948,9563291.39,20235181.395,40853254.480000004,6.0,3.2109333333333336,1.7433412089050917,1.3795,2.9188,5.8928
AZ,2010,6.0,634585306.9116668,335498084.8088987,264270014.41000003,543457886.265,1048202389.03,6.0,91.53453333333334,48.393261768211765,38.1191,78.39,151.1959
AZ,2015,6.0,615716734.04,318613911.0964147,268192326.02,539417083.12,1001542874.5699999,6.0,88.8128,45.95781761145758,38.6849,77.8071,144.4656
AZ,2020,6.0,250152077.47333333,138803465.5490575,95226277.28,207098611.525,435630044.86,6.0,36.082683333333335,20.021462158535442,13.7355,29.8726,62.8367
AZ,2023,6.0,374922395.3416667,206751370.7769229,143941541.73,310155085.73,643633508.47,6.0,54.07993333333334,29.822446054451447,20.7626,44.737700000000004,92.8396
AZ,2026,6.0,366899960.7266667,202990549.2246346,139913997.54999998,302386158.96000004,630298094.4,6.0,52.92276666666666,29.27998034320834,20.1816,43.6171,90.9161
AZ,2029,6.0,259811718.46833336,143098159.64954054,99983661.25,215157057.39,445634334.18,6.0,37.47608333333333,20.64093155188657,14.421999999999999,31.034949999999995,64.2798
AZ,2032,6.0,163261936.74,93151568.33356482,59324506.989999995,133332129.60499999,293558281.82,6.0,23.549449999999997,13.436490929814973,8.5571,19.23225,42.3438
AZ,2035,6.0,66190259.395,35911541.26602517,26331321.39,55941953.195,113656057.28,6.0,9.547533333333334,5.179977844997666,3.7982,8.06925,16.394099999999998
AZ,2038,6.0,78804252.04833333,42420056.850857615,31719889.93,66651230.255,133117063.03,6.0,11.366999999999999,6.118838708121011,4.5755,9.613949999999999,19.2013
AZ,2041,6.0,55623498.01166666,30643429.48594931,21548162.05,46589826.19,97172528.64,6.0,8.023349999999999,4.420102234903623,3.1082,6.7203,14.0165
