,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2050,6.0,308090258.9433333,166234996.61754256,143020978.85999998,294691490.19,570207725.15,6.0,44.43988333333334,23.97818452488984,20.6299,42.5072,82.2484
AR,2010,6.0,2314717468.8083334,1122508773.5252101,1225894918.1000001,2262727219.505,3534905945.08,6.0,333.88186666666667,161.914141511996,176.8268,326.38265,509.8856
AR,2015,6.0,289430626.1283334,144974576.76390097,141536629.95,275180570.125,479744387.69,6.0,41.748349999999995,20.911552810898574,20.4157,39.69285,69.1998
AR,2020,6.0,180852335.25333333,90883238.37110838,88166144.14,171997156.115,301830673.98,6.0,26.08671666666667,13.10924797376519,12.717400000000001,24.809400000000004,43.537000000000006
AR,2023,6.0,1467596798.3216667,746308903.9986235,702033662.9699999,1387855432.275,2497448189.9700003,6.0,211.69061666666667,107.64984648693962,101.26339999999999,200.1886,360.2395
AR,2026,6.0,791324506.065,384947472.9056774,414131197.96000004,770002690.8100001,1222988092.91,6.0,114.14300000000001,55.525950338701996,59.7355,111.06745000000001,176.4075
AR,2029,6.0,203593040.84,101571184.88764255,100337400.92,194094735.365,335036587.0,6.0,29.366866666666667,14.650941213951638,14.4729,27.9968,48.3267
AR,2032,6.0,240031459.01166666,117421087.81659628,123550113.14,232215406.34999996,377689239.48,6.0,34.62283333333334,16.93719439655419,17.8211,33.4955,54.4789
AR,2035,6.0,108422087.505,54305385.294449575,52899314.86,102886774.89,179499997.74,6.0,15.639116666666666,7.8331864380765674,7.6304,14.84065,25.8917
AR,2038,6.0,96785368.50833333,48411056.32251923,47328619.31,91901025.165,159821279.51,6.0,13.960633333333334,6.982943423418712,6.8269,13.256049999999998,23.053199999999997
AR,2041,6.0,99391553.235,51831549.719933495,45500476.06999999,92450953.055,174717579.26999998,6.0,14.336533333333334,7.476250885214237,6.5633,13.33535,25.2017
AR,2044,6.0,79273302.32333334,40507378.257681094,37392984.74,74410853.205,135533589.12,6.0,11.43465,5.8429006928921865,5.3937,10.73325,19.549799999999998
AR,2047,6.0,73638114.64,37758867.10676076,34499209.13,68927075.41499999,126456881.03999999,6.0,10.62175,5.446417522280126,4.9763,9.9422,18.240499999999997
AR,2050,6.0,69371106.27333333,35694907.01215679,32372379.67,64895829.330000006,119781392.21000001,6.0,10.006283333333334,5.148742319214146,4.6695,9.36075,17.2776
AZ,2010,6.0,634305321.4616666,335333896.6993683,264175758.22,543222362.9549999,1047614258.3199999,6.0,91.49411666666667,48.3695215779696,38.1057,78.35600000000001,151.111
AZ,2015,6.0,356167576.6066666,185903583.13584307,152500236.94,310057563.53499997,586627561.31,6.0,51.37463333333333,26.81527536138062,21.9972,44.7235,84.6169
AZ,2020,6.0,175729228.43166667,98697359.88079962,66076373.86,146115183.435,314675023.02,6.0,25.34765,14.236416414498416,9.531,21.076,45.3897
AZ,2023,6.0,385670913.635,211505722.73208123,149729302.69,320890859.20500004,660594687.09,6.0,55.6304,30.508254481107237,21.5974,46.28635,95.2863
AZ,2026,6.0,367574382.3233333,203949653.38357022,139439636.12,302391937.41,633459920.14,6.0,53.020050000000005,29.418267817242402,20.1134,43.61794999999999,91.372
AZ,2029,6.0,302332380.3833334,166589425.42058608,116199270.14999999,250046584.665,517881389.15000004,6.0,43.6093,24.029438616996444,16.7608,36.067400000000006,74.7008
AZ,2032,6.0,196502775.77499998,107413143.73969145,76829782.59,164203072.025,336636242.56,6.0,28.344133333333332,15.49352589782799,11.0822,23.685200000000002,48.5573
AZ,2035,6.0,136889947.72666666,74399624.18352555,54255579.26,115460733.285,235177034.88,6.0,19.745416666666667,10.73164013325394,7.8260000000000005,16.654400000000003,33.9226
AZ,2038,6.0,143322716.795,76439110.6545714,58645638.20999999,121718720.06,238353282.14,6.0,20.67331666666667,11.025898964785895,8.4593,17.557000000000002,34.381
AZ,2041,6.0,122267208.73333333,69678350.74146335,44497419.95999999,99858009.55000001,219416356.38,6.0,17.6362,10.05060293037189,6.4185,14.403849999999998,31.6493
